VPTREE,EUCLIDEAN,CONVEX,1,4015,316358
k,time,count,disk
5,93203310,29755,105
5,93913443,29755,105
5,115320429,33157,117
5,56701191,16729,59
5,81712731,24955,88
5,12143365,3975,14
5,85456976,26924,95
5,46749859,14474,51
5,85047398,26650,94
5,57640253,16716,59
5,83305439,26074,92
5,4920422,1424,5
5,80376092,24392,86
5,94047544,29754,105
5,102295220,32585,115
5,93657983,29184,103
5,94918359,30038,106
5,99618328,31453,111
5,92731595,28632,101
5,43929527,13904,49
5,64521844,30322,107
5,55315871,24660,87
5,28773328,13348,47
5,78350672,33154,117
5,62267145,28901,102
5,63178143,29190,103
5,67443587,30606,108
5,34260664,15882,56
5,30097774,14470,51
5,71904006,32585,115
5,54332286,23821,84
5,65298933,27493,97
5,96956893,34565,122
5,32945126,10230,36
5,89475446,27774,98
5,101185307,32302,114
5,37850511,12212,43
5,84568519,26651,94
5,19439696,6259,22
5,73723290,23259,82
5,19445656,6261,22
5,96555129,31171,110
5,91452295,27771,98
5,119562069,34567,122
5,47934922,15585,55
5,116920873,34283,121
5,116258950,33719,119
5,87296207,27774,98
5,951465,290,1
5,92254881,29756,105
5,39185966,12472,44
5,95494429,30604,108
5,100843026,32586,115
5,89450469,28626,101
5,62438436,19275,68
5,97288416,31172,110
5,66681136,20425,72
5,12280603,3977,14
5,101323016,32590,115
5,93611276,29762,105
5,98117081,31738,112
5,88214390,28339,100
5,79826050,24954,88
5,79405441,24932,88
5,85359152,26935,95
5,37098759,11618,41
5,95169640,30605,108
5,49191840,15874,56
5,117963920,34849,123
5,91430155,29188,103
5,958187,290,1
5,68533992,21260,75
5,21302330,6825,24
5,58438350,17862,63
5,100022125,32586,115
5,96138158,30884,109
5,73750020,22957,81
5,87928613,28627,101
5,84713220,26936,95
5,43808369,13917,49
5,21930058,7105,25
5,23711330,7668,27
5,112801143,33435,118
5,28337811,8526,30
5,81624486,25236,89
5,99869819,32302,114
5,80777716,25233,89
5,108875307,32869,116
5,67144786,19286,68
5,40391439,11909,42
5,69775622,20147,71
5,61851635,17863,63
5,85379310,24950,88
5,47915175,14462,51
5,127885516,35415,125
5,61591827,17025,60
5,16637779,4829,17
5,108911454,32867,116
5,92232740,27772,98
5,79510188,23805,84
5,106393009,31741,112
5,60599095,17024,60
5,21852302,6535,23
5,79509156,23253,82
5,122108276,33716,119
5,96836908,28906,102
5,75168331,21843,77
5,89629826,26649,94
5,53702243,16163,57
5,107854121,32025,113
5,101678553,30324,107
5,25021599,7673,27
5,51949604,15607,55
5,98084229,29472,104
5,19417033,5690,20
5,123049783,33719,119
5,123127548,33436,118
5,46166965,13627,48
5,90230483,26365,93
5,89937123,26635,94
5,77976250,22688,80
5,24524987,7392,26
5,96971902,28912,102
5,15827137,4550,16
5,105786330,31454,111
