VPTREE,EUCLIDEAN,FFT,1,4015,393192
k,time,count,disk
5,92754298,29470,104
5,102837317,32869,116
5,96509945,30036,106
5,65225986,18438,65
5,23739794,7370,26
5,33656080,9652,34
5,84255982,24660,87
5,68156975,19000,67
5,88144810,25794,91
5,80391722,23242,82
5,51155806,15308,54
5,10258939,3133,11
5,7928517,2269,8
5,104299641,32018,113
5,32067209,9066,32
5,88472885,26073,92
5,31456112,9066,32
5,78190412,22664,80
5,98287710,28910,102
5,67232661,18709,66
5,103196251,30603,108
5,97832166,29189,103
5,66108321,18728,66
5,124722963,35131,124
5,99497189,30032,106
5,93308488,28624,101
5,70627270,20683,73
5,90190678,26929,95
5,46048543,13899,49
5,103640966,32017,113
5,51504530,15879,56
5,73308481,21537,76
5,121881130,33998,120
5,48674380,14753,52
5,51181394,15590,55
5,97351093,29185,103
5,62396607,18157,64
5,47369812,14176,50
5,21864615,6537,23
5,83192878,24377,86
5,30622598,8803,31
5,59366572,16720,59
5,63211616,18131,64
5,126218808,34847,123
5,71209753,20128,71
5,108241508,32866,116
5,103572106,30888,109
5,52063729,15587,55
5,2887728,860,3
5,104046926,31451,111
5,60358332,17016,60
5,125338838,35131,124
5,79495480,22951,81
5,63502382,18138,64
5,97789176,29191,103
5,73415001,21261,75
5,104709420,31458,111
5,17602198,5124,18
5,121280242,33999,120
5,88781033,26081,92
5,119331055,33149,117
5,25847228,7935,28
5,105318672,31741,112
5,79589026,23529,83
5,44942096,13326,47
5,94714105,28619,101
5,100165033,30603,108
5,39316291,11632,41
5,125870345,35413,125
5,101369132,30321,107
5,2874984,860,3
5,94379478,28340,100
5,49393319,14764,52
5,65495361,18721,66
5,104724518,31735,112
5,120548960,33717,119
5,71800101,20698,73
5,30654327,8783,31
5,92577096,28061,99
5,79466034,23541,83
5,41147978,12214,43
5,24599356,7374,26
5,97141831,29189,103
5,41573957,12197,43
5,90635312,27491,97
5,23964325,8500,30
5,60748395,28339,100
5,64115502,30886,109
5,32697912,15881,56
5,46031791,20980,74
5,44041868,17861,63
5,62501223,17859,63
5,47218568,14174,50
5,82068828,24373,86
5,125324380,34847,123
5,36437469,10780,38
5,6297907,1990,7
5,101789532,30602,108
5,94547102,28626,101
5,120212548,33151,117
5,88251379,26065,92
5,58739875,16730,59
5,7893851,2277,8
5,88354473,26364,93
5,87407186,26065,92
5,95550153,28624,101
5,62398401,17862,63
5,72488873,21258,75
5,54071426,16444,58
5,122384534,34285,121
5,52761418,15873,56
5,35640934,10506,37
