VPTREE,EUCLIDEAN,GNAT,1,4015,445503
k,time,count,disk
5,99989814,30319,107
5,89006667,26069,92
5,107044290,32019,113
5,83712733,24100,85
5,100872330,29479,104
5,19300394,5684,20
5,94577068,27775,98
5,62871257,17028,60
5,98974299,28911,102
5,37268989,10772,38
5,76999717,21824,77
5,4674901,1427,5
5,102507238,30037,106
5,97141210,28903,102
5,103933194,31166,110
5,85476062,24941,88
5,94048998,28054,99
5,86114550,25215,89
5,105973441,31459,111
5,54371940,15882,56
5,106970903,32301,114
5,66577863,18989,67
5,44695854,13345,47
5,105785419,32582,115
5,87528963,26066,92
5,92749229,27771,98
5,80785762,24084,85
5,53003241,15873,56
5,44361367,13325,47
5,106406915,32865,116
5,65363364,18713,66
5,78856892,22956,81
5,97847114,30032,106
5,40432554,11920,42
5,85626253,25499,90
5,100961237,30885,109
5,60135564,17019,60
5,76778051,22392,79
5,26002769,7948,28
5,89681333,26372,93
5,20042196,5969,21
5,88952886,26630,94
5,91193860,27204,96
5,127166096,35129,124
5,61436005,17001,60
5,106349497,32583,115
5,122567157,33997,120
5,73880936,20975,74
5,1009795,289,1
5,97219898,29469,104
5,53867423,16152,57
5,76086273,22385,79
5,83555769,24650,87
5,73533323,21541,76
5,76124044,22390,79
5,99441445,30041,106
5,80430735,23528,83
5,12250616,3701,13
5,103013628,31451,111
5,97162840,29195,103
5,100880195,30883,109
5,85346098,25511,90
5,96538669,28909,102
5,99762728,29753,105
5,78117434,22393,79
5,22741191,6802,24
5,101023494,30322,107
5,65646495,18994,67
5,126173413,35129,124
5,108231639,32301,114
5,1014113,289,1
5,62205449,17574,62
5,31747298,9094,32
5,86751775,25799,91
5,98165933,29754,105
5,122514568,33999,120
5,78014782,22118,78
5,90328847,27208,96
5,100660122,30611,108
5,62682613,17867,63
5,31447856,9085,32
5,43621659,13050,46
5,91381582,27770,98
5,37271133,11075,39
5,90976543,27500,97
5,94125220,28617,101
5,84398610,24940,88
5,124407330,33997,120
5,84136328,24383,86
5,60168497,16718,59
5,49559599,14478,51
5,80046704,22965,81
5,81916893,23239,82
5,48796820,14461,51
5,128159951,34563,122
5,50215140,14475,51
5,18172688,5125,18
5,110424724,32584,115
5,83153594,24095,85
5,83918530,24088,85
5,93793768,27196,96
5,39767838,11357,40
5,47917057,14181,50
5,103100732,30040,106
5,89810104,25782,91
5,104695924,30890,109
5,69898443,19561,69
5,68899338,19274,68
5,49257794,14465,51
5,125738057,33435,118
5,81066598,22670,80
5,42456733,12211,43
5,45458254,13053,46
5,88274974,25500,90
5,22308188,6534,23
5,124840944,33431,118
5,125537831,33148,117
5,38768993,11077,39
5,70483451,19559,69
5,109363633,32014,113
5,84234512,24390,86
5,23232011,6816,24
5,99507389,29476,104
5,19743225,5690,20
5,85820688,24652,87
5,87453092,25222,89
5,74479759,20700,73
5,80231681,22674,80
5,126235521,33433,118
5,50841956,14741,52
5,69436176,18712,66
5,1007049,289,1
5,77649626,21838,77
5,67857403,18726,66
5,65442121,18152,64
5,100813760,29470,104
5,108476969,32017,113
5,109512512,32015,113
5,111608745,32866,116
5,90885432,25789,91
5,1076199,289,1
5,106937341,30609,108
5,1044710,289,1
5,99036896,28340,100
5,88337110,24933,88
5,82719509,22958,81
5,76723159,21543,76
5,10733059,3128,11
5,110292726,32301,114
5,70308672,26367,93
5,53397692,22674,80
5,66154779,30032,106
5,48591063,21537,76
5,56898982,25506,90
5,44747230,19282,68
5,22179537,9660,34
5,46616027,20692,73
5,62477318,28617,101
5,52609113,23802,84
5,73680640,32023,113
5,45691352,19847,70
5,81390085,33153,117
5,45784347,18131,64
5,44175979,19000,67
5,28413133,12205,43
5,47147475,20146,71
5,40098869,17312,61
5,33613430,15040,53
5,69438039,31731,112
5,3711474,1713,6
5,50774630,22399,79
5,24492417,10775,38
5,3729919,1713,6
5,58001240,25790,91
5,66711553,30603,108
5,35493969,16162,57
5,60745469,27215,96
5,68088597,30325,107
5,82314320,34846,123
5,59839178,26066,92
5,74237645,32015,113
5,49450336,21824,77
5,55976170,24933,88
5,51057370,21539,76
5,34806940,15877,56
5,51539305,22104,78
5,54091314,23806,84
5,53976508,24939,88
5,56260263,24932,88
5,67884163,30884,109
5,70969623,32583,115
5,53143425,23804,84
5,30546376,13906,49
5,44447158,19281,68
5,39758400,17010,60
5,6468016,2840,10
5,46844366,20714,73
5,32813990,15029,53
5,82593363,34847,123
5,53271515,23235,82
5,56511284,24936,88
5,65314231,29473,104
5,69299840,31450,111
5,67945229,30608,108
5,59034638,24386,86
5,55091700,24387,86
5,47998321,20694,73
5,57594677,25224,89
5,62905762,28343,100
5,64580845,29193,103
5,66843371,30320,107
5,48809272,21547,76
5,63714028,28619,101
5,33318487,15323,54
5,48887579,21550,76
5,52903164,22124,78
5,72419664,32870,116
5,52848030,23236,82
5,55832962,24663,87
5,35206019,16443,58
5,42120131,17861,63
5,13947140,6263,22
5,47944530,20694,73
5,82778230,34847,123
5,70626860,31735,112
5,54244742,24098,85
5,32554444,12764,45
5,25811280,11639,41
5,51604127,22964,81
5,64865799,29469,104
5,84754287,34847,123
5,32700488,14750,52
5,82016781,34280,121
5,17133368,7953,28
5,70702011,32015,113
5,71120486,32015,113
5,45086688,19851,70
5,30676619,13906,49
5,51117233,22116,78
5,52798698,23531,83
5,68786898,29182,103
5,43892417,18999,67
5,57257484,25513,90
5,9869218,4279,15
5,62669188,21831,77
5,89395036,26075,92
5,54488188,16153,57
5,87790965,25218,89
5,111192534,32589,115
5,12621512,3711,13
5,61212214,17005,60
5,106928623,31450,111
5,91946672,26367,93
5,96462216,28334,100
5,90280046,26359,93
5,52273673,15323,54
5,83336968,24087,85
5,88876893,29750,105
5,88589152,35414,125
5,101752151,32017,113
5,45705179,14465,51
5,78887920,24648,87
5,88833672,28338,100
5,84586643,26922,95
5,76672453,23818,84
5,82685525,26066,92
5,118349914,34281,121
5,66757650,20123,71
5,66074518,20130,71
5,70530789,21534,76
5,48767865,15600,55
5,74828684,22960,81
5,47092642,15035,53
5,46300986,14760,52
5,95496614,30042,106
5,90185678,28904,102
5,24499319,7961,28
5,92508207,29469,104
5,95789683,30603,108
5,100628133,32020,113
5,93337692,29758,105
5,87684685,27777,98
