VPTREE,EUCLIDEAN,HFI,1,4015,490116
k,time,count,disk
5,51355671,24656,87
5,41844364,19572,69
5,41608952,19576,69
5,12930167,6528,23
5,21414356,10223,36
5,4639380,2278,8
5,29768972,15312,54
5,14377434,7390,26
5,19915903,9924,35
5,36556335,17015,60
5,22056592,10789,38
5,1169867,574,2
5,22615862,11073,39
5,43240665,20701,73
5,51946691,24950,88
5,38525662,17577,62
5,52054794,25228,89
5,47115330,22397,79
5,24948050,12200,43
5,11911174,5972,21
5,43976897,20974,74
5,38810998,17870,63
5,11315144,5690,20
5,47473953,22682,80
5,52016182,25229,89
5,39963753,18709,66
5,37935344,17299,61
5,29521898,14474,51
5,31753307,16163,57
5,43067680,20980,74
5,12690267,6541,23
5,24570962,12204,43
5,58159015,29473,104
5,6210260,3133,11
5,30734795,15604,55
5,54032036,27496,97
5,5531236,2846,10
5,17909766,8525,30
5,5610554,2851,10
5,18725007,9088,32
5,3834719,1999,7
5,44220806,20983,74
5,53193091,25795,91
5,55062511,26643,94
5,29856396,15034,53
5,53957757,26642,94
5,53701996,26366,93
5,42428851,20131,71
5,616918,289,1
5,51703715,25223,89
5,25822762,12770,45
5,46478134,22687,80
5,40248548,19003,67
5,36081875,16733,59
5,29419967,14758,52
5,30743221,15888,56
5,20608182,10223,36
5,1681938,857,3
5,31418910,16180,57
5,29187160,15041,53
5,51574853,25512,90
5,27493269,13610,48
5,20767912,10223,36
5,39458605,18991,67
5,22320276,10788,38
5,46318935,22114,78
5,28559522,14175,50
5,40089729,18999,67
5,53842491,26078,92
5,41069850,19556,69
5,611288,289,1
5,27447764,13621,48
5,3425993,1720,6
5,17724297,8514,30
5,51325014,25226,89
5,43813300,20703,73
5,21770394,10491,37
5,54014954,25794,91
5,27821606,13909,49
5,9931295,4838,17
5,8892416,4275,15
5,7285660,3699,13
5,48140835,23243,82
5,10602606,5120,18
5,20338837,9658,34
5,38426596,17858,63
5,40179728,18716,66
5,48498297,23245,82
5,19066577,9092,32
5,27007768,13342,47
5,13923703,7103,25
5,24809009,12486,44
5,15918298,8236,29
5,25207407,12769,45
5,56866568,28063,99
5,9927789,4835,17
5,2318533,1141,4
5,48650693,23249,82
5,45314979,21264,75
5,43757686,20139,71
5,52796086,25229,89
5,14101776,7104,25
5,20690487,9933,35
5,13366535,6809,24
5,54062473,26360,93
5,30475148,15021,53
5,21455192,10502,37
5,22876772,11344,40
5,2351034,1137,4
5,42442206,19855,70
5,24822826,12204,43
5,7344099,3701,13
5,13575518,6820,24
5,45508813,21542,76
5,3468994,1720,6
5,48073489,22687,80
5,53574486,25512,90
5,11610489,5689,20
5,15034317,7658,27
5,47130138,22114,78
5,12483969,6259,22
5,6182157,3132,11
5,16187883,8247,29
5,1196175,571,2
5,36278183,16730,59
5,39633142,18423,65
5,19879023,9370,33
5,41216705,19556,69
5,55196802,26361,93
5,24383911,11919,42
5,20540345,9945,35
5,609414,289,1
5,11313541,5682,20
5,12717487,6261,22
5,11541009,5697,20
5,40240362,18991,67
5,44677233,20685,73
5,44019277,20139,71
5,52889561,25228,89
5,37140873,16735,59
5,623010,289,1
5,31406947,15325,54
5,612580,289,1
5,19905113,9642,34
5,44012024,20980,74
5,19368835,9093,32
5,16354977,8237,29
5,1700582,856,3
5,53207668,25514,90
5,18946723,9091,32
5,23431382,11639,41
5,47017476,22119,78
5,46719367,21834,77
5,33042498,16456,58
5,11051640,5407,19
5,2828681,1426,5
5,26009422,13052,46
5,57693391,28343,100
5,47150566,22113,78
5,38764872,17590,62
5,29150150,14186,50
5,33081652,16463,58
5,51308022,23817,84
5,7962349,3976,14
5,5794088,2852,10
5,13148456,6534,23
5,7281361,3699,13
5,10074375,4837,17
5,54709668,25793,91
5,3005302,1437,5
5,21797416,10226,36
5,20618100,9923,35
5,1679663,858,3
5,42179413,19555,69
5,39683457,17858,63
5,13792867,6808,24
5,16150934,8230,29
5,24143630,11640,41
5,53283020,25233,89
5,38551811,17310,61
5,59067300,28345,100
5,43994360,20139,71
5,37366847,16739,59
5,29365294,14183,50
5,22885989,11058,39
5,24909469,12212,43
5,22446132,10794,38
5,43955316,20420,72
5,40149632,18154,64
5,57011730,26933,95
5,42312933,19285,68
5,23706008,11358,40
5,10614919,5117,18
5,13576330,6824,24
5,40850547,18727,66
5,640713,289,1
5,14436114,7103,25
5,23982467,11640,41
5,44971415,20978,74
5,41987062,19270,68
5,49920406,23525,83
5,20540025,9646,34
5,53650189,25792,91
5,37963177,17027,60
5,12211237,5965,21
5,10492770,5116,18
5,12635093,6258,22
5,40943652,18987,67
5,21311113,10226,36
5,22617234,10773,38
5,30910455,15313,54
5,27661676,13608,48
5,43437796,20130,71
5,7459285,3697,13
5,9562013,4552,16
5,12886634,6254,22
5,45132177,20705,73
5,44024737,20137,71
5,24877488,11935,42
5,22590624,10790,38
5,19337596,9079,32
5,1741199,860,3
5,18050400,8531,30
5,48125616,22401,79
5,42332721,19569,69
5,18620410,8521,30
5,13954239,6817,24
5,6310598,3133,11
5,23847604,11337,40
5,57765395,28062,99
5,46886710,21552,76
5,12335110,5969,21
5,54214649,25511,90
5,2379096,1138,4
5,54028560,25227,89
5,45314830,20427,72
5,12332505,5970,21
5,9525915,4546,16
5,19596382,9094,32
5,13073165,6527,23
5,43878102,20131,71
5,18992249,8813,31
5,24426170,11641,41
5,1724047,860,3
5,12835459,6241,22
5,29232534,14470,51
5,27460548,13609,48
5,50955399,24099,85
5,37929823,17018,60
5,1709771,860,3
5,37577722,17022,60
5,31930310,15869,56
5,19701169,9372,33
5,43908629,20414,72
5,24452970,11633,41
5,10165437,4831,17
5,43641827,20131,71
5,46297274,21269,75
5,46207765,21553,76
5,43711610,20122,71
5,13480429,6533,23
5,51300607,24098,85
5,52877358,24948,88
5,31659291,15608,55
5,13308487,6539,23
5,33347290,16447,58
5,57229008,27210,96
5,26672929,12776,45
5,18111835,8524,30
5,51568650,24094,85
5,14207464,6820,24
5,25256380,12200,43
5,10077050,4829,17
5,9654265,4551,16
5,21580398,10209,36
5,51884994,24664,87
5,2372275,1143,4
5,51642760,24092,85
5,47014029,21827,77
5,29367468,14473,51
5,22437997,10797,38
5,15399443,7660,27
5,27518746,13620,48
5,15408108,7671,27
5,44698181,20701,73
5,13364652,6539,23
5,11065586,5389,19
5,7885626,3985,14
5,16582083,8248,29
5,28064751,13626,48
5,10065248,4830,17
5,14910415,7388,26
5,13075069,6541,23
5,26007388,12779,45
5,15467400,7673,27
5,42162611,19555,69
5,53037127,24946,88
5,45526838,20700,73
5,28805342,13908,49
5,2374578,1140,4
5,42712033,19572,69
5,43516924,20123,71
5,53179745,24951,88
5,12444275,5969,21
5,37985698,17011,60
5,49454482,22965,81
5,618030,289,1
5,40176652,18160,64
5,47728620,22118,78
5,33943921,16454,58
5,38372765,17574,62
5,15847544,7960,28
5,16093656,7963,28
5,15763907,7941,28
5,46569455,21550,76
5,19927995,9363,33
5,14995705,7392,26
5,23014219,11075,39
5,28707367,13906,49
5,41722605,18995,67
5,23887969,11350,40
5,18822250,8799,31
5,4794782,2287,8
5,24082565,11642,41
5,50217284,23252,82
5,26104531,12487,44
5,43031953,20133,71
5,22877052,10781,38
5,49276016,23247,82
5,21311061,9935,35
5,51660112,24375,86
5,26588520,12769,45
5,50227212,23816,84
5,52278774,24662,87
5,1720841,860,3
5,10100594,4836,17
5,37724067,17015,60
5,616267,289,1
5,606489,289,1
5,45625653,20708,73
5,18485917,8507,30
5,49735118,22969,81
5,20266270,9370,33
5,43495172,19848,70
5,1205663,572,2
5,3450549,1717,6
5,20172985,9367,33
5,21420046,10225,36
5,43644684,20128,71
5,33556082,16453,58
5,50817250,23811,84
5,10185353,4836,17
5,46224347,21265,75
