VPTREE,EUCLIDEAN,IS,1,4015,473509
k,time,count,disk
5,34572419,15865,56
5,46576483,20694,73
5,57035706,25795,91
5,25691259,11638,41
5,32997110,15049,53
5,10356971,4553,16
5,46512963,20981,74
5,20681231,9388,33
5,45734501,20704,73
5,47505788,21550,76
5,45576625,20413,72
5,3660795,1708,6
5,37931678,16753,59
5,38399476,16719,59
5,38464348,16718,59
5,51797428,23816,84
5,40309253,17566,62
5,57760787,26640,94
5,37550462,16736,59
5,22382545,9653,34
5,50726437,23236,82
5,57143749,26648,94
5,17395269,8251,29
5,58508010,27211,96
5,52228768,23807,84
5,46545625,20975,74
5,47833514,21546,76
5,34774357,16184,57
5,27677730,12764,45
5,57613630,26927,95
5,25498277,11641,41
5,50179459,23253,82
5,77356719,33433,118
5,11930235,5411,19
5,39927195,17303,61
5,47955722,22099,78
5,13185583,6256,22
5,30028945,14191,50
5,7715781,3708,13
5,31016500,14481,51
5,6081662,2845,10
5,60583979,28346,100
5,65317729,31172,110
5,69364610,32592,115
5,45620107,20981,74
5,68610353,32587,115
5,68863769,32589,115
5,47228688,21544,76
5,663426,289,1
5,52188903,23798,84
5,33400998,15593,55
5,61668105,28632,101
5,54630147,24945,88
5,44404914,19565,69
5,42213278,18721,66
5,41319559,18154,64
5,38653232,16743,59
5,7885109,3700,13
5,55553471,25513,90
5,40151897,17589,62
5,59162380,27490,97
5,29529608,13606,48
5,32657251,15049,53
5,49440672,21833,77
5,38862846,16739,59
5,62082574,29477,104
5,44935340,20417,72
5,24640015,11338,40
5,69525131,32589,115
5,56480502,26069,92
5,659649,289,1
5,47138357,21546,76
5,16663134,7960,28
5,27889427,13056,46
5,61026019,27774,98
5,60167456,27494,97
5,34669080,16458,58
5,52112709,24089,85
5,44848257,19577,69
5,21110617,9377,33
5,6766628,3139,11
5,17461033,8236,29
5,57884619,26646,94
5,16194994,7400,26
5,33569455,15618,55
5,31359705,14455,51
5,39711970,17291,61
5,66626407,30893,109
5,21610145,9651,34
5,43617865,19010,67
5,24760762,11080,39
5,31902303,14461,51
5,42989926,18727,66
5,21840266,9639,34
5,82522741,34284,121
5,23064807,10236,36
5,3051702,1423,5
5,53907690,23816,84
5,49754310,22111,78
5,60124486,26646,94
5,61059833,27217,96
5,23566950,10227,36
5,20277812,8794,31
5,43427739,17596,62
5,62390371,28056,99
5,54863225,24942,88
5,27789651,12769,45
5,29812529,13330,47
5,20030017,8805,31
5,53652741,23535,83
5,47785963,20978,74
5,10647516,4833,17
5,19879153,8528,30
5,50379173,22385,79
5,15767391,7393,26
5,62507010,27782,98
5,66094778,30040,106
5,19352826,8527,30
5,39030650,17300,61
5,62670467,28625,101
5,23991347,10794,38
5,12260396,5698,20
5,38505705,16740,59
5,7287306,3408,12
5,51779754,23244,82
5,43528017,19551,69
5,26629511,12201,43
5,29264610,13319,47
5,66392738,30608,108
5,46298319,20416,72
5,30067177,13627,48
5,682041,289,1
5,22976209,10220,36
5,21456776,9383,33
5,21366848,9378,33
5,48457916,21543,76
5,59865929,27209,96
5,27703277,12470,44
5,63947485,29757,105
5,45154091,20131,71
5,696719,289,1
5,44916395,19297,68
5,698201,289,1
5,34377462,15877,56
5,62007933,28059,99
5,42802094,18447,65
5,29554404,13350,47
5,1817022,855,3
5,67995527,30888,109
5,30713752,13904,49
5,39995072,17020,60
5,57941726,25793,91
5,55829269,24941,88
5,55357191,24668,87
5,26583244,11649,41
5,7435003,3416,12
5,41632808,17870,63
5,66356839,30602,108
5,28087610,12469,44
5,51218599,22407,79
5,41607149,17873,63
5,49137993,21282,75
5,68963195,30611,108
5,20602442,8808,31
5,15062828,6823,24
5,28209708,12490,44
5,21448551,9380,33
5,23598980,10231,36
5,70189878,31736,112
5,4291770,1992,7
5,46379661,20428,72
5,29433257,13332,47
5,4295747,1999,7
5,52735910,24090,85
5,60037802,27778,98
5,28599360,13050,46
5,33493602,15615,55
5,28090355,12773,45
5,69785449,32024,113
5,57469329,25797,91
5,80182865,34002,120
5,52529912,22966,81
5,62118630,25801,91
5,45828507,19850,70
5,26101480,11624,41
5,50143921,21825,77
5,39915612,16741,59
5,55559352,24666,87
5,59208495,26363,93
5,68968304,31170,110
5,60916663,27215,96
5,49365620,21554,76
5,11501480,5113,18
5,25024817,11082,39
5,47746108,20699,73
5,3249222,1425,5
5,26728027,11928,42
5,12133717,5389,19
5,62322794,27504,97
5,49263969,21540,76
5,60144783,26927,95
5,44430161,19289,68
5,68112357,30890,109
5,49612162,21842,77
5,25091572,11355,40
5,26916860,12216,43
5,30999407,13911,49
5,49837225,22110,78
5,43328131,18727,66
5,45517243,19849,70
5,55482698,24664,87
5,44913859,19561,69
5,44536570,18989,67
5,15701357,7110,25
5,22126825,9666,34
5,25087435,11085,39
5,55259679,24385,86
5,54389454,24091,85
5,31653476,13329,47
5,23172558,10494,37
5,24393251,11068,39
5,1816591,857,3
5,29591214,13623,48
5,61442750,28068,99
5,56971764,26081,92
5,26690486,12199,43
5,15699094,7381,26
5,16876174,7970,28
5,48451432,21553,76
5,55886776,25786,91
5,61643678,27780,98
5,22003964,9949,35
5,65646826,30610,108
5,15458742,7107,25
5,65115478,30327,107
5,31216765,14173,50
5,19760170,8806,31
5,22260816,9947,35
5,27231401,12204,43
5,25509117,11352,40
5,44791299,19555,69
5,30016732,13627,48
5,28210300,12763,45
5,655131,289,1
5,28172548,12499,44
5,52146231,23245,82
5,49747627,21833,77
5,66388599,29478,104
5,52515034,22972,81
5,675178,289,1
5,49931302,21833,77
5,47574816,20701,73
5,26741000,11926,42
5,63481049,28346,100
5,35337645,15881,56
5,16950473,7679,27
5,53145138,23527,83
5,59136669,26085,92
5,50422544,22106,78
5,65387088,28343,100
5,23424151,10225,36
5,59161937,26361,93
5,59600721,26927,95
5,40510319,17013,60
5,31175719,13925,49
5,48172739,21264,75
5,70048521,31456,111
5,48820265,21269,75
5,29285088,13059,46
5,71492705,32022,113
5,20971716,9090,32
5,34996073,16184,57
5,28446413,12787,45
5,23433929,10231,36
5,43064616,18728,66
5,65606890,30321,107
5,5101571,2275,8
5,49523376,21817,77
5,48901086,21823,77
5,53875239,24107,85
5,34785888,15890,56
5,44196862,19290,68
5,50981764,22686,80
5,23432136,10512,37
5,60653368,27496,97
