VPTREE,EUCLIDEAN,KMEDOIDS,1,4015,389265
k,time,count,disk
5,81381580,25228,89
5,67173320,20147,71
5,69416279,20992,74
5,37174853,11641,41
5,36126676,11365,40
5,9155739,2843,10
5,74223098,23253,82
5,15487670,4839,17
5,61691424,18442,65
5,51513116,16445,58
5,41655430,13333,47
5,941647,289,1
5,33780012,10513,37
5,78498590,24390,86
5,86034209,26935,95
5,74459341,23246,82
5,73695949,22674,80
5,85601598,26930,95
5,47788237,15601,55
5,27535065,8531,30
5,89003711,28631,101
5,73211259,22694,80
5,15094503,4839,17
5,83199070,26083,92
5,72311641,22390,79
5,73449646,22969,81
5,57840469,17013,60
5,41243226,13066,46
5,18050239,5675,20
5,85309259,27497,97
5,24656575,8241,29
5,43622410,13908,49
5,96805250,31176,110
5,6439634,1993,7
5,62226889,18439,65
5,90541587,28912,102
5,16072387,5112,18
5,36188512,11354,40
5,5251273,1710,6
5,36093694,11642,41
5,4510442,1428,5
5,78060989,24386,86
5,89857133,28348,100
5,90793108,28064,99
5,57353114,17020,60
5,91833381,29197,103
5,88644067,27786,98
5,41071153,13041,46
5,943671,289,1
5,83162881,26360,93
5,48820594,15890,56
5,74533501,22978,81
5,80755735,24957,88
5,51365990,16448,58
5,45782033,14764,52
5,49373261,15886,56
5,38325362,12211,43
5,8186370,2564,9
5,72069277,22128,78
5,46215536,14757,52
5,89165806,28345,100
5,57448442,17011,60
5,32865287,10224,36
5,72511125,22679,80
5,46418016,15049,53
5,82345298,25520,90
5,65490743,19842,70
5,36594754,11346,40
5,92164092,29197,103
5,80184263,25231,89
5,945975,289,1
5,60680878,18160,64
5,8697300,2845,10
5,39425225,12488,44
5,86163693,27212,96
5,80188240,24672,87
5,41110487,13051,46
5,48889684,15869,56
5,50655517,16462,58
5,15333671,4836,17
5,11952157,3987,14
5,21872140,7109,25
5,81375709,25519,90
5,14931918,4547,16
5,42627474,13624,48
5,81011675,25237,89
5,62990812,18730,66
5,83175205,25801,91
5,33541445,10505,37
5,41514346,13060,46
5,21843916,7098,25
5,57545284,16737,59
5,30500309,9365,33
5,43364807,13913,49
5,95985922,29481,104
5,23426135,7673,27
5,3599184,1139,4
5,79759857,24098,85
5,48042414,15309,54
5,71262783,21273,75
5,82683583,25234,89
5,28177470,8514,30
5,19778662,6248,22
5,45809735,14477,51
5,75725306,22958,81
5,59705818,17571,62
5,40478311,12781,45
5,31325317,9650,34
5,13879904,4259,15
5,72850542,21839,77
5,62477109,18426,65
5,7104039,2280,8
5,15755644,4827,17
5,82586069,25512,90
5,11051557,3700,13
5,80533619,24673,87
5,91400498,28067,99
5,22993333,7384,26
5,35951468,11065,39
5,90772179,27500,97
5,20217133,6533,23
5,4532484,1428,5
5,38172975,11921,42
5,8840318,2844,10
5,79392237,24380,86
5,40511082,12756,45
5,42526895,13626,48
5,47632925,15303,54
5,89123456,27495,97
5,61871993,17880,63
5,29561898,8807,31
5,933762,289,1
5,23445111,7676,27
5,14814066,4552,16
5,15210480,4836,17
5,75191596,23245,82
5,77921888,23805,84
5,74203380,22128,78
5,86821757,26933,95
5,67867874,20411,72
5,949431,289,1
5,48777173,15328,54
5,938161,289,1
5,32846160,13331,47
5,43796297,18987,67
5,22102012,9938,35
5,25048078,10507,37
5,1252159,575,2
5,56610811,25800,91
5,27320673,12490,44
5,26968722,12485,44
5,59120640,26367,93
5,62363646,26650,94
5,32393120,14759,52
5,20457655,9087,32
5,2505371,1143,4
5,28991588,13332,47
5,35177004,16436,58
5,55764012,24954,88
5,46334810,19012,67
5,30095429,13898,49
5,40366362,17315,61
5,81616701,25244,89
5,32480915,9090,32
5,11196058,3413,12
5,25310802,7397,26
5,24631627,7395,26
5,11402866,3419,12
5,102594643,29196,103
5,2876978,863,3
5,41245510,11925,42
5,20433139,5955,21
5,6613228,1995,7
5,74898655,20688,73
5,90167124,25519,90
5,32233822,9083,32
5,40320695,11642,41
5,48341245,14193,50
5,101741241,28350,100
5,76152107,20707,73
5,100818770,28913,102
5,73994579,20428,72
5,66687909,17861,63
5,50896409,14745,52
5,32124808,9075,32
5,67914290,18725,66
5,62203856,16744,59
5,75849499,20984,74
5,77517929,21559,76
5,101446779,28916,102
5,83932766,23538,83
5,64899553,17598,62
5,24176424,7106,25
5,30703129,8522,30
5,69750346,19009,67
5,4158462,1137,4
5,23537394,7098,25
5,52051556,15325,54
5,81284468,22399,79
5,81470547,22956,81
5,77348652,21539,76
5,53766224,16170,57
5,76615938,23522,83
5,58515936,17029,60
5,34670795,10790,38
5,35243809,11079,39
5,33290124,10517,37
5,56413450,16720,59
5,44261740,14188,50
5,48904181,15601,55
5,61700311,18427,65
5,59908198,17861,63
5,72182960,21836,77
5,14666219,4549,16
5,21219825,6818,24
5,19359725,6252,22
5,74357650,22410,79
5,62244832,18428,65
5,37138935,11642,41
5,43565242,13915,49
5,30894850,9651,34
5,1903823,573,2
5,38168036,12210,43
5,83029983,25233,89
5,79125466,24664,87
5,31612676,9656,34
5,12033810,3984,14
5,13624985,4262,15
5,42920424,13612,48
5,49723187,16153,57
5,78932123,22971,81
5,18282534,5117,18
5,93540373,26370,93
5,17889157,5120,18
5,95916913,26930,95
5,74295874,20144,71
5,23102969,6814,24
5,22954310,6828,24
5,34624797,9944,35
5,31606174,8795,31
5,79685156,22123,78
5,42895788,12490,44
5,41814838,11930,42
5,2047291,573,2
5,37588950,10789,38
5,77660297,22124,78
5,59013480,17290,61
5,88866674,26934,95
5,71246943,21271,75
5,1849830,573,2
5,63623219,19010,67
5,59741235,17571,62
5,28928089,8811,31
5,88263572,27500,97
5,43163439,13617,48
5,17773268,5687,20
5,48122874,15305,54
5,73366872,22129,78
5,74936676,22692,80
5,81486036,25231,89
5,18899221,5967,21
5,86206242,26652,94
5,83331077,25807,91
5,65237377,19572,69
5,25141324,8233,29
5,77457817,23817,84
5,95229252,29192,103
5,46008338,14767,52
