VPTREE,EUCLIDEAN,MAXSEPARETED,1,4015,88781
k,time,count,disk
5,88446375,28618,101
5,99465400,32021,113
5,96262631,31170,110
5,72112767,22125,78
5,89984952,28064,99
5,12003743,3983,14
5,89144875,28629,101
5,46968549,15038,53
5,90595618,29194,103
5,72542244,22668,80
5,44238917,14170,50
5,8771709,2856,10
5,78309264,24389,86
5,93387336,30036,106
5,99057424,32300,114
5,87612029,28616,101
5,93073046,30884,109
5,57036970,17565,62
5,86071308,27778,98
5,76861097,24669,87
5,93733044,30883,109
5,74420749,23805,84
5,48377843,15897,56
5,98535005,32867,116
5,87216428,28615,101
5,87997202,28909,102
5,46062759,15018,53
5,59242348,18154,64
5,57468260,17865,63
5,115662762,35413,125
5,67991134,21271,75
5,82496191,27213,96
5,118860854,35978,127
5,33431639,10515,37
5,49044043,16154,57
5,86217883,27768,98
5,45625880,15048,53
5,50349973,16436,58
5,17675415,5689,20
5,61858378,18997,67
5,30193663,9386,33
5,49638338,16433,58
5,87630865,28617,101
5,119881448,35979,127
5,72652941,22671,80
5,116478062,35130,124
5,117607902,34564,122
5,43429488,13884,49
5,3676719,1145,4
5,92390907,29752,105
5,54861479,16724,59
5,113791250,33715,119
5,116376632,34565,122
5,57375486,17283,61
5,88109072,28623,101
5,78102456,24945,88
5,72878594,22961,81
5,8098776,2561,9
5,96509364,31734,112
5,75051081,23813,84
5,111426092,33432,118
5,80770422,25507,90
5,79986943,25797,91
5,96962845,31738,112
5,38920388,12477,44
5,78534137,25217,89
5,83277767,26640,94
5,49883778,16445,58
5,118443500,35695,126
5,94988029,30606,108
5,2618363,860,3
5,62484502,19559,69
5,28692296,8808,31
5,67198798,21272,75
5,96518200,31736,112
5,100767313,32869,116
5,63006090,19562,69
5,94364680,31167,110
5,87675289,28631,101
5,45060218,14762,52
5,21247498,6827,24
5,35950946,11347,40
5,111317458,33148,117
5,28024393,8517,30
5,83429822,26653,94
5,95442963,31170,110
5,96550962,31736,112
5,110918871,33148,117
5,48526712,15882,56
5,63317836,18992,67
5,56556228,17303,61
5,62084402,19284,68
5,35683685,11344,40
5,45223744,14744,52
5,119353036,35979,127
5,30087755,9362,33
5,2622591,860,3
5,112542478,33433,118
5,87869803,28337,100
5,88880790,28615,101
5,117517432,35413,125
5,60548931,18154,64
5,25344916,8229,29
5,73680790,23253,82
5,118548988,35696,126
5,96273692,31170,110
5,71366657,22681,80
5,82338906,26926,95
5,37263750,11904,42
5,112427030,33150,117
5,64471159,17848,63
5,28058187,8533,30
5,50644786,16455,58
5,91060720,29752,105
5,25237144,8250,29
5,121338190,35978,127
5,119174141,35413,125
5,40179931,12774,45
5,49991841,16436,58
5,91840534,29182,103
5,67144525,20986,74
5,19802727,6256,22
5,89189990,28915,102
5,17247072,5399,19
5,58951813,18131,64
5,77425085,24660,87
5,42537174,13619,48
5,82339557,26359,93
5,100836764,32866,116
5,82320872,26357,93
5,61091889,18714,66
5,3702197,1145,4
5,67450961,20990,74
5,60306846,18440,65
5,44976742,14477,51
5,94453577,30889,109
5,93711233,30602,108
5,98286058,31735,112
5,98306997,32297,114
5,83267117,26919,95
5,1851685,575,2
5,90696156,29476,104
5,3631685,1145,4
5,86963292,28631,101
5,91845072,30317,107
5,83248081,27213,96
5,45815625,15025,53
5,15386831,4839,17
5,98470213,32300,114
5,69549138,21834,77
5,39660426,12758,45
5,98956486,32302,114
5,93236332,30603,108
5,98151906,31743,112
5,69541383,22128,78
5,23102548,7401,26
5,59360541,18131,64
5,101045485,32867,116
5,90847671,29188,103
5,98841521,31459,111
5,57094638,17283,61
5,99904604,31459,111
5,62845620,19266,68
5,59427947,18170,64
5,19475012,6255,22
5,60924214,18449,65
5,45206152,14474,51
5,43395475,13912,49
5,90360016,29464,104
5,9642483,3145,11
5,82983054,26363,93
5,57634962,17861,63
5,2620037,859,3
5,77799647,25221,89
5,94325607,30887,109
5,73102736,23528,83
5,74316442,23822,84
5,71712016,22403,79
5,117534424,35131,124
5,55511067,16719,59
5,86777964,28049,99
5,91246389,29751,105
5,45027567,14734,52
5,49620585,16433,58
5,68695176,22111,78
5,45768196,15018,53
5,48064325,15871,56
5,94429882,31167,110
5,54878520,16718,59
5,71001984,22101,78
5,112840897,33149,117
5,99428091,31741,112
5,34918169,10793,38
5,69957664,21841,77
5,85493304,26922,95
5,6076041,1988,7
5,58397544,17585,62
5,41565211,13043,46
5,116367193,34284,121
5,78801568,24371,86
5,91647091,29468,104
5,90698671,28910,102
5,98891684,32018,113
5,94254523,30043,106
5,76575661,23822,84
5,68045256,20993,74
5,39277237,12476,44
5,91379219,29472,104
5,84019348,26364,93
5,90849354,29191,103
5,88076110,28050,99
5,73241516,22963,81
5,90075412,28624,101
5,41214602,13052,46
5,60531237,18442,65
5,60981552,18442,65
5,114584920,33434,118
5,46206610,14736,52
5,80013762,24943,88
5,77935332,24374,86
5,49424197,15895,56
5,2668186,863,3
5,84315234,26931,95
5,117789302,35415,125
5,102270874,32867,116
5,69737702,21559,76
5,21183348,6819,24
5,22926177,7388,26
5,84527051,26639,94
5,99766375,32301,114
5,103422506,32582,115
5,46673044,14749,52
5,100555275,32301,114
5,33101640,10231,36
5,101910929,32584,115
5,103155685,32585,115
5,56728682,17315,61
5,49262814,15896,56
5,75981978,23815,84
5,77295091,24385,86
5,88929892,28342,100
5,78052473,25234,89
5,78061009,24382,86
5,5241845,1717,6
5,82919665,26087,92
5,90596349,29187,103
5,22789621,7370,26
5,90785814,28897,102
5,104691005,32583,115
5,2899641,863,3
5,91057975,26355,93
5,104154459,30605,108
5,83317020,23820,84
5,123859412,33714,119
5,91821407,26647,94
5,60637817,17301,61
5,94211413,27770,98
5,102738652,30600,108
5,127710859,34284,121
5,110432018,32301,114
5,62625637,18435,65
5,94584813,34280,121
5,47585115,21253,75
5,64195302,29761,105
5,41259587,18162,64
5,66152604,31455,111
5,103701268,31164,110
5,93115977,26924,95
5,77471563,22391,79
5,97914089,28332,100
5,65944263,18158,64
5,90362982,25804,91
5,61880609,17030,60
5,31617084,8798,31
5,84790345,24100,85
5,109006002,32299,114
5,17908963,5121,18
5,99849150,29189,103
5,98366880,28907,102
5,108921824,31177,110
5,88110805,25525,90
5,99289941,29479,104
5,101142357,30321,107
5,38126939,11067,39
5,81512505,23239,82
5,63673093,18152,64
5,73220426,21262,75
5,33558557,9651,34
5,86280271,24667,87
5,95891124,28346,100
5,71478939,20426,72
5,76929266,22400,79
5,77189744,22403,79
5,104881564,31457,111
5,89410624,26649,94
5,87797407,25788,91
5,89966907,26348,93
5,105478434,31171,110
5,86148563,24659,87
5,8939895,2568,9
5,104001271,30884,109
5,107821248,32021,113
5,128289734,34283,121
5,45676475,13327,47
