VPTREE,EUCLIDEAN,MAXVARIANCE,1,4015,408098
k,time,count,disk
5,61572351,22671,80
5,46525117,20426,72
5,45591555,20146,71
5,13291118,6252,22
5,21816936,9662,34
5,6548508,3137,11
5,40649782,17027,60
5,10945168,5114,18
5,24932632,11355,40
5,39861104,16736,59
5,30993644,14474,51
5,652053,289,1
5,26589381,12498,44
5,49310262,22403,79
5,59485776,24948,88
5,34780801,15035,53
5,54974350,24947,88
5,57463571,26075,92
5,28536314,13334,47
5,11902232,4840,17
5,53836825,24666,87
5,33780524,15883,56
5,5929015,2845,10
5,54143953,24100,85
5,58828933,25794,91
5,49164859,21836,77
5,41096672,17583,62
5,28358971,11638,41
5,15257699,7383,26
5,52382296,23817,84
5,17048849,8245,29
5,29977428,13911,49
5,63909817,29473,104
5,4091306,1995,7
5,32198956,15326,54
5,60292209,27498,97
5,6508071,3129,11
5,22833273,10504,37
5,2932072,1427,5
5,22051957,9950,35
5,1774159,863,3
5,48473352,21557,76
5,65664870,24665,87
5,58082391,26076,92
5,32639423,15610,55
5,63851838,26926,95
5,55635752,25236,89
5,42676876,16734,59
5,658165,289,1
5,60679485,26638,94
5,31321680,14762,52
5,60627618,22406,79
5,71625023,21838,77
5,42466041,13624,48
5,43636196,13904,49
5,46212921,15042,53
5,36353562,11653,41
5,3714699,1147,4
5,61494745,18165,64
5,39641060,12497,44
5,82895319,26076,92
5,42337039,13617,48
5,32189058,10220,36
5,56970195,17022,60
5,40805854,13062,46
5,68353654,20691,73
5,65477318,19566,69
5,46852842,15027,53
5,82059281,24947,88
5,78220398,24093,85
5,969169,289,1
5,48490395,15324,54
5,9107559,2852,10
5,23631090,7669,27
5,79429396,24383,86
5,69518220,20707,73
5,43897176,13907,49
5,81205028,25511,90
5,40798712,12780,45
5,18073211,5687,20
5,9127316,2846,10
5,16277112,5118,18
5,67003432,20131,71
5,8909387,2849,10
5,35956536,11084,39
5,75412801,22969,81
5,65967277,19567,69
5,78192957,23531,83
5,29519087,8801,31
5,38637938,11931,42
5,17991168,5687,20
5,44594043,14186,50
5,36418624,11356,40
5,43884764,13904,49
5,84972016,25799,91
5,15644936,4841,17
5,1821457,572,2
5,71592582,21268,75
5,64672608,19003,67
5,67856171,19861,70
5,80874328,24383,86
5,15665684,4839,17
5,19648858,6240,22
5,41206407,12783,45
5,81854838,24946,88
5,63701115,18719,66
5,28348552,8524,30
5,42237733,13335,47
5,32363584,9938,35
5,69895618,20709,73
5,60410601,17587,62
5,3680546,1148,4
5,19449324,6256,22
5,73745833,22107,78
5,9082592,2848,10
5,74230972,22123,78
5,84720104,25797,91
5,11399558,3704,13
5,39109483,12202,43
5,80974365,24669,87
5,23172280,7395,26
5,6038660,1995,7
5,35947630,11084,39
5,956014,289,1
5,63254377,18717,66
5,59195461,17581,62
5,23448327,7668,27
5,66312385,20129,71
5,86102687,26358,93
5,51174682,16172,57
5,29315686,8812,31
5,964700,289,1
5,22511550,7103,25
5,19251613,5985,21
5,10673677,3414,12
5,57067489,16735,59
5,82294542,25229,89
5,67837126,19857,70
5,82787358,25229,89
5,70840119,21271,75
5,973136,289,1
5,37355332,12776,45
5,655951,289,1
5,31304528,14186,50
5,54756251,24664,87
5,22012513,9951,35
5,14887824,7108,25
5,1245858,575,2
5,56308604,24097,85
5,22659868,10237,36
5,29909120,14195,50
5,46682382,20699,73
5,48923738,21546,76
5,40083540,16742,59
5,18221180,8248,29
5,2414981,1145,4
5,26078743,11922,42
5,62712109,28341,100
5,44557495,19276,68
5,35301207,16461,58
5,24248608,10504,37
5,33671400,15041,53
5,53531063,23536,83
5,12826998,5963,21
5,7258208,3420,12
5,13658799,6537,23
5,13467620,6257,22
5,7285030,3420,12
5,77304660,26643,94
5,4521994,1429,5
5,34564766,10805,38
5,32905581,10218,36
5,961985,289,1
5,64391611,19566,69
5,71962145,21552,76
5,35771620,11069,39
5,20325427,6530,23
5,41306274,13063,46
5,85907752,26366,93
5,61573072,18161,64
5,60987243,27212,96
5,37453986,16168,57
5,43958781,17871,63
5,26140028,11638,41
5,23433999,10784,38
5,34868486,16182,57
5,26607755,12211,43
5,56174021,19010,67
5,70405705,20708,73
5,86930611,26648,94
5,68358383,20137,71
5,42830574,13346,47
5,24579590,7960,28
5,30905019,9384,33
5,45335585,14189,50
5,2668267,858,3
5,21534596,6824,24
5,31821828,9658,34
5,67914000,20133,71
5,76060556,22966,81
5,80321750,24373,86
5,50945531,16170,57
5,81370569,24947,88
5,46808388,14467,51
5,23986767,7663,27
5,30141747,9093,32
5,31480558,9663,34
5,59121111,17304,61
5,40879073,12779,45
5,43116180,13621,48
5,49365527,15886,56
5,47376555,15317,54
5,66003524,19841,70
5,7369829,2282,8
5,20994643,6819,24
5,13815843,4269,15
5,68403198,20424,72
5,71367459,21272,75
5,33745308,10239,36
5,40065416,12490,44
5,21379756,6817,24
5,4556830,1427,5
5,35767532,11083,39
5,75645827,22972,81
5,69026838,20703,73
5,28695973,8520,30
5,11251242,3702,13
5,6068707,1996,7
5,44472997,14182,50
5,86968152,27213,96
5,73812537,22120,78
5,20856985,6548,23
5,78403691,23816,84
5,5248999,1708,6
5,83125612,25230,89
5,71626195,20993,74
5,18987647,5963,21
5,16479561,5113,18
5,25665206,8251,29
5,25402703,8233,29
5,68717277,20405,72
5,30422543,9102,32
5,35601129,11078,39
5,4521954,1428,5
5,24579720,7946,28
5,63558758,19011,67
5,39903633,12488,44
5,80691754,24666,87
5,51699476,16458,58
5,3727945,1145,4
5,47104344,15038,53
5,59097858,17585,62
5,36486120,11358,40
5,74585367,22675,80
5,32460988,9939,35
5,9654956,3131,11
5,62590942,18425,65
5,72263070,21552,76
5,73603366,22123,78
5,75757978,22968,81
