VPTREE,EUCLIDEAN,PCA,1,4015,361605
k,time,count,disk
5,81025291,25792,91
5,72662368,22685,80
5,74111618,22974,81
5,31756375,9923,35
5,39537777,12785,45
5,5971965,1995,7
5,69825066,22118,78
5,15001798,4836,17
5,40929618,13041,46
5,61209138,18719,66
5,29827146,9077,32
5,4319314,1424,5
5,48038236,15618,55
5,83470299,26934,95
5,91700050,29485,104
5,77038700,24389,86
5,85879178,27498,97
5,89448747,28916,102
5,37723733,11909,42
5,21666813,7118,25
5,83170396,26643,94
5,70661885,21836,77
5,10322348,3412,12
5,84447943,26652,94
5,90436049,29197,103
5,49597271,16433,58
5,72992619,22979,81
5,59495544,17883,63
5,31903782,9923,35
5,57564260,17284,61
5,21551559,7096,25
5,50573202,16465,58
5,94906607,30893,109
5,8585769,2848,10
5,69061393,21285,75
5,83593139,27209,96
5,11237655,3696,13
5,21237689,7098,25
5,7954556,2565,9
5,39183862,12784,45
5,3573986,1144,4
5,78418589,25801,91
5,83498511,27496,97
5,93738204,30898,109
5,40762104,13320,47
5,94086006,31460,111
5,88633768,29196,103
5,62919598,20130,71
5,951365,289,1
5,78444829,26072,92
5,38970932,12756,45
5,83204870,27223,96
5,83523999,27786,98
5,43608756,14456,51
5,67700569,21555,76
5,67792791,21851,77
5,43795345,14489,51
5,2591743,857,3
5,77126014,25243,89
5,61428010,19587,69
5,86835462,29198,103
5,42146341,13604,48
5,41169067,13633,48
5,55758061,17284,61
5,44749445,14767,52
5,81332438,26365,93
5,73047311,23823,84
5,40735854,13330,47
5,92438856,30326,107
5,81360180,26927,95
5,946576,289,1
5,69160628,21843,77
5,5206660,1709,6
5,31608087,9923,35
5,85323706,27496,97
5,87470023,28070,99
5,54543712,16742,59
5,82158758,27213,96
5,32359146,10213,36
5,10460047,3424,12
5,7214787,2279,8
5,29918367,9375,33
5,72199490,22958,81
5,5192813,1710,6
5,20679402,6814,24
5,79248035,25804,91
5,70226439,22120,78
5,84049045,27498,97
5,41992672,13628,48
5,60923142,18448,65
5,29033156,9105,32
5,63207840,19572,69
5,46238358,14765,52
5,60889910,18725,66
5,97102236,31178,110
5,24645333,8243,29
5,8186210,2555,9
5,69744735,21546,76
5,69305721,21548,76
5,86881800,27507,97
5,87758334,27785,98
5,17721452,5676,20
5,15545308,4828,17
5,56457514,17035,60
5,90152747,29482,104
5,74188723,23817,84
5,30402284,9364,33
5,35185801,11061,39
5,24040427,7941,28
5,84959452,26942,95
5,46288122,15023,53
5,7958833,2564,9
5,20845994,6822,24
5,82576792,26643,94
5,6006470,1990,7
5,86192446,27510,97
5,87014468,27780,98
5,22727695,7391,26
5,61837177,18998,67
5,94816248,30334,107
5,16213672,5114,18
5,4444500,1427,5
5,24401055,7947,28
5,12223335,3977,14
5,47916056,15306,54
5,27800954,8500,30
5,28242622,8513,30
5,49070793,16444,58
5,93952707,30614,108
5,69888785,21843,77
5,39080859,12496,44
5,963467,289,1
5,20367576,6812,24
5,15232181,7105,25
5,11670939,5415,19
5,28801372,13602,48
5,56728772,26931,95
5,59553131,27510,97
5,54413798,25796,91
5,31322522,15022,53
5,677160,289,1
5,33863931,15900,56
5,658044,289,1
5,39427760,17584,62
5,56392542,26366,93
5,17160559,8230,29
5,19696598,8809,31
5,3548679,1711,6
5,60356459,28634,101
5,19366609,8795,31
5,40202313,18454,65
5,55406421,26082,92
