VPTREE,EUCLIDEAN,RANDOM,1,4015,296559
k,time,count,disk
5,61800659,27773,98
5,55959449,25807,91
5,51415823,22963,81
5,28764401,13336,47
5,27827243,13064,46
5,9335126,4278,15
5,54663006,25514,90
5,19446198,7392,26
5,54208143,20417,72
5,54941278,24106,85
5,42646920,18432,65
5,2472889,1144,4
5,34090596,15618,55
5,59008279,27207,96
5,65795955,29762,105
5,54523875,22686,80
5,62982015,28628,101
5,60295986,27208,96
5,43220467,18432,65
5,21493328,9378,33
5,71512282,26924,95
5,48139265,20698,73
5,13373613,6261,22
5,64273107,27778,98
5,61431707,28061,99
5,53463946,24094,85
5,48965887,21268,75
5,45380469,19582,69
5,31600393,14745,52
5,62722288,28914,102
5,21839327,9655,34
5,34474956,15317,54
5,68307798,32305,114
5,9245287,4266,15
5,38513724,16448,58
5,66112960,28056,99
5,12567331,5693,20
5,29393552,13912,49
5,7734181,3702,13
5,22393928,10217,36
5,6321501,2849,10
5,52917140,24379,86
5,66818314,30610,108
5,64979123,30612,108
5,49853431,23253,82
5,76178687,31174,110
5,65452641,29760,105
5,53518548,22963,81
5,647525,289,1
5,60544432,28906,102
5,47557323,22123,78
5,60840517,28347,100
5,54614495,25511,90
5,45190593,18718,66
5,37098279,16732,59
5,53732140,19002,67
5,33078446,15896,56
5,3724579,1709,6
5,50086669,22117,78
5,38019757,17305,61
5,64182688,30609,108
5,41029786,18437,65
5,30872307,14755,52
5,51600841,23814,84
5,30369684,14469,51
5,50157813,22675,80
5,53823841,23816,84
5,51584279,22683,80
5,66629259,30893,109
5,58270626,27776,98
5,651242,289,1
5,38490530,17300,61
5,9496479,4270,15
5,42365541,19293,68
5,71698019,30043,106
5,79834286,23247,82
5,52321723,15895,56
5,94263370,28344,100
5,62247837,17876,63
5,18624275,5402,19
5,8614123,2567,9
5,37831404,11078,39
5,95639572,28629,101
5,20895177,6256,22
5,34730997,10215,36
5,91706722,27497,97
5,66510005,19283,68
5,85304630,25226,89
5,42849900,13069,46
5,56436113,17315,61
5,14389981,4544,16
5,58863337,18157,64
5,38316484,12208,43
5,44954580,14468,51
5,98808087,31741,112
5,20208458,6536,23
5,4360532,1427,5
5,87349608,28065,99
5,75882532,24093,85
5,78238842,24956,88
5,85445744,27494,97
5,16137188,5116,18
5,14666410,4548,16
5,49368392,15897,56
5,86758557,27492,97
5,86072161,27495,97
5,59507155,18150,64
5,60368882,18435,65
5,46188495,14753,52
5,78968632,24380,86
5,70122845,21830,77
5,8780335,2849,10
5,22631305,7392,26
5,86452804,27490,97
5,8919195,2854,10
5,85924283,27496,97
5,94608167,30324,107
5,18385066,5967,21
5,66285223,20704,73
5,92310185,29762,105
5,25102230,8244,29
5,10469444,3418,12
5,39008253,12487,44
5,8774233,2842,10
5,69672900,21831,77
5,54340521,16718,59
5,35246775,11076,39
5,49872568,16438,58
5,94008462,30330,107
