VPTREE,EUCLIDEAN,SELECTION,1,4015,299007
k,time,count,disk
5,64484775,30612,108
5,57661302,26943,95
5,47031287,20994,74
5,25830487,11924,42
5,27389112,13064,46
5,9352498,4270,15
5,55432620,24953,88
5,20361034,9099,32
5,46538281,21003,74
5,54817375,24950,88
5,47364332,20150,71
5,1808233,858,3
5,34295159,16174,57
5,56770671,26651,94
5,67310768,30615,108
5,59763907,27504,97
5,62241426,28913,102
5,70211711,30042,106
5,43034638,19006,67
5,24254880,11083,39
5,69413232,30612,108
5,45600032,20423,72
5,16905100,8247,29
5,64413521,28067,99
5,64022117,30045,106
5,46189477,20697,73
5,55428292,23822,84
5,34496246,16176,57
5,38677653,17020,60
5,59194869,26934,95
5,15744943,7670,27
5,48872020,19871,70
5,66391433,30891,109
5,6951673,3414,12
5,49693552,22413,79
5,60318838,27206,96
5,21759609,9942,35
5,32234833,15609,55
5,3027220,1425,5
5,33852639,14486,51
5,6488715,3136,11
5,57893858,25805,91
5,67052914,31462,111
5,70883381,31460,111
5,48363626,20431,72
5,68079089,30611,108
5,68304001,30897,109
5,51503668,23253,82
5,1267168,572,2
5,60496391,27776,98
5,45732129,18162,64
5,64438919,27788,98
5,57163728,26085,92
5,41467005,18149,64
5,41920076,17307,61
5,46289715,20154,71
5,26257447,11918,42
5,8868520,3703,13
5,56513839,26090,92
5,41741500,18174,64
5,63042119,28909,102
5,53539758,24390,86
5,33305923,15619,55
5,49471876,22406,79
5,40639032,17321,61
5,51834970,23247,82
5,51777953,23261,82
5,48081858,21554,76
5,68856749,32311,114
5,31898082,15306,54
5,1277176,572,2
5,26758148,12484,44
5,11603331,4549,16
5,26643802,12490,44
5,60869171,29196,103
5,60155481,28073,99
5,15473965,7384,26
5,58151832,27493,97
5,31207285,14774,52
5,13126650,6254,22
5,3120094,1425,5
5,25697607,11075,39
5,54265911,25797,91
5,13234663,6262,22
5,32435129,15339,54
5,63409989,29487,104
5,36394649,14461,51
5,89591544,28912,102
5,56882601,17326,61
5,61457455,18459,65
5,23543125,7677,27
5,60838013,18726,66
5,46390674,14772,52
5,27886504,8511,30
5,100337627,32593,115
5,21969813,7102,25
5,6059329,1994,7
5,82778760,25804,91
5,73709834,22967,81
5,79671480,28354,100
5,58478876,27494,97
5,24838746,11648,41
5,25965961,12210,43
5,39393426,16744,59
5,65873541,30330,107
5,60284123,27214,96
5,38458982,17033,60
5,26211792,12204,43
5,13806476,6532,23
5,57569670,24678,87
5,38351991,17303,61
5,7452473,2566,9
5,14540513,6829,24
5,56563261,26359,93
5,8281469,3983,14
5,60824687,27506,97
5,65599488,31463,111
5,17510044,8245,29
5,43188446,19859,70
5,59787872,26646,94
5,13580521,6538,23
5,7078402,3415,12
5,30106710,14476,51
5,13289405,6257,22
5,50379980,23253,82
5,43976465,20401,72
5,28665205,13638,48
5,52998763,24658,87
5,69991828,31745,112
5,46072347,20711,73
5,26715237,11641,41
5,1318424,572,2
5,31575697,13630,48
5,23275402,9372,33
5,14358411,6819,24
5,45502427,19846,70
5,62929847,28627,101
5,64073093,28921,102
5,60616187,28346,100
5,53735485,24952,88
5,644439,289,1
5,38308309,17039,60
5,1299017,572,2
5,47800209,22124,78
5,58030134,27213,96
5,31067243,13629,48
5,26554425,12497,44
5,2980012,1424,5
5,60805572,28913,102
5,34440872,15329,54
5,41196057,18453,65
5,56268839,24941,88
5,55169786,25791,91
5,26770831,11348,40
5,26561589,12220,43
5,4132424,1994,7
5,41392487,18438,65
5,61873305,29476,104
5,28534150,13035,46
5,43852601,19583,69
5,40513868,17877,63
5,50831477,22134,78
5,66132266,30332,107
5,23008582,9370,33
5,4119630,1987,7
5,19345369,8523,30
5,13835951,6531,23
5,13486416,5113,18
5,69396702,31177,110
5,5068600,2276,8
5,42079155,17037,60
5,21037734,9367,33
5,4084424,1993,7
5,56387141,25798,91
5,63362910,29200,103
5,34533587,16174,57
5,37999841,16741,59
5,16296748,7668,27
5,65795935,29481,104
5,60009979,24962,88
5,36595565,15870,56
5,27669918,12768,45
5,55459420,24958,88
5,50326489,22401,79
5,42161419,17312,61
5,51483150,23264,82
5,40119468,17318,61
5,56974453,25801,91
5,57779714,26373,93
5,68348514,31745,112
5,58803665,25800,91
5,43754107,19021,67
5,10199738,4551,16
5,21935940,9942,35
5,28039762,12767,45
5,4171998,2000,7
5,16445097,7677,27
5,25906178,10783,38
5,58590615,25524,90
5,57981012,26649,94
5,60525857,27777,98
5,40728670,16744,59
5,63856456,29478,104
5,47570007,20722,73
5,38771558,17030,60
5,25139721,11348,40
5,21719263,9663,34
5,43246315,18147,64
5,44587651,18733,66
5,49863531,21281,75
5,55218599,23820,84
5,30678953,14185,50
5,53859058,24102,85
5,11239228,5117,18
5,17649186,8236,29
5,12736928,5968,21
5,61078464,26940,95
5,57012365,26088,92
5,33511418,15611,55
5,39580196,17305,61
5,24535607,11080,39
5,5094238,2281,8
5,24769897,11082,39
5,64223796,28350,100
5,54790806,24104,85
5,24405393,11086,39
5,13188726,5970,21
5,15628634,7393,26
5,35046960,16458,58
5,61906036,28909,102
5,64509011,29202,103
5,21298844,8525,30
5,65284144,29763,105
5,15030593,7107,25
5,62404431,28629,101
5,64744743,28356,100
5,14250289,6532,23
5,26412499,12222,43
5,32486916,15052,53
5,25475260,11073,39
5,58598280,25795,91
5,24096974,10794,38
5,45154675,19017,67
5,3096781,1429,5
5,22532378,9942,35
5,54200999,24674,87
5,48141569,21557,76
5,65642527,29767,105
5,52242635,23264,82
5,3070130,1429,5
5,40887269,17872,63
5,40043224,17580,62
5,32311607,15049,53
5,54634142,24942,88
5,32179149,14748,52
5,11096441,5117,18
5,50566419,22676,80
5,61166138,26087,92
5,63234910,27226,96
5,61964206,28350,100
5,19196339,8244,29
5,63709901,28634,101
5,62403891,28916,102
5,45883432,20711,73
5,10305567,4546,16
5,53579774,23821,84
5,71833514,32311,114
5,43098608,17874,63
5,31694018,14768,52
5,58524672,26928,95
5,24754889,11370,40
5,38874722,17328,61
5,27581923,12786,45
5,19812045,8805,31
5,38238288,17030,60
5,62172446,27500,97
5,4407771,1424,5
5,59219426,25795,91
5,55159237,25227,89
5,48508267,21845,77
5,30995328,14190,50
5,45828640,18167,64
5,44823886,19854,70
5,16108515,7674,27
5,48227882,20701,73
5,23851513,10797,38
5,23772586,10775,38
5,9441225,4256,15
5,24333418,10789,38
5,47123770,21002,74
5,19064241,8517,30
5,40793873,18166,64
5,21846701,9946,35
5,43897146,19026,67
5,26544627,12214,43
5,43990571,19563,69
5,69408053,30613,108
5,62936962,26374,93
5,24315574,10787,38
5,1803003,858,3
5,58680454,25517,90
5,39021297,16728,59
5,65913475,29483,104
5,27455035,11364,40
5,52372779,23540,83
5,64511826,29480,104
5,1302193,572,2
5,46274697,20433,72
5,57064121,26088,92
5,48849157,21853,77
5,48332929,21825,77
5,29910282,13905,49
5,19226055,7960,28
5,42347528,18724,66
5,54840730,24957,88
5,43018106,18733,66
5,23771793,10512,37
5,39397564,17306,61
5,50331228,22694,80
5,64247891,29204,103
5,49079420,20999,74
5,39529751,17308,61
5,11910548,5410,19
5,38272552,16468,58
5,64389537,28634,101
5,51164122,22126,78
5,59634004,27222,96
5,28717915,13055,46
5,32031201,14741,52
5,25371265,11352,40
5,66675375,30896,109
5,59248330,22979,81
5,100135748,29196,103
5,98226136,28629,101
5,4050610,1144,4
5,19439495,5684,20
5,80135591,22686,80
5,1067332,289,1
5,1042105,289,1
5,94468915,26655,94
5,77655257,21839,77
5,99569656,28068,99
5,41685476,11646,41
5,86706430,24386,86
5,1089584,289,1
5,8129674,2277,8
5,53758259,15342,54
5,47490648,13632,48
5,91929441,25809,91
5,72726338,19861,70
5,94149196,26642,94
5,13743047,3978,14
5,96418283,27504,97
5,56505955,16459,58
5,75675313,20714,73
5,35628461,9948,35
5,50934110,14749,52
5,72877813,20415,72
5,78698856,21851,77
5,87642666,24670,87
5,91309287,26086,92
5,25568966,7395,26
5,101805522,30326,107
5,91419434,27498,97
5,81655503,24108,85
5,21009842,6250,22
5,60785704,17027,60
5,91677227,26939,95
5,99046284,29759,105
5,50536073,15332,54
5,34584321,9934,35
5,4830122,1429,5
5,9564377,2841,10
5,58899916,17306,61
5,92074603,28634,101
5,83494073,25516,90
5,66874730,19579,69
5,103348677,31741,112
5,45035632,13631,48
5,102711131,31457,111
5,32147609,9363,33
5,16626927,4833,17
5,83501967,24949,88
5,98520017,30331,107
5,34774809,10239,36
5,78152470,23535,83
5,97556158,29486,104
5,85542857,25528,90
5,86580765,25806,91
5,19913184,5972,21
5,46819889,14204,50
5,82847430,24399,86
5,59079714,17040,60
5,40775859,12209,43
5,39210282,11648,41
5,65114266,18738,66
5,24820853,7678,27
5,51890925,15589,55
5,49164158,14759,52
5,70224755,20433,72
5,90941085,27499,97
5,66437760,19275,68
5,72199820,20995,74
5,70326726,20432,72
5,82912151,24378,86
5,51628192,15024,53
5,106700546,30612,108
5,69834312,19571,69
5,82974097,23264,82
5,53826937,15605,55
5,71482976,19859,70
5,61817410,17002,60
5,106231125,30896,109
5,50672469,14488,51
5,83790890,23266,82
5,31900606,8799,31
5,68447200,19013,67
5,79043852,22133,78
5,77685785,21572,76
5,26209538,7674,27
5,91408793,26367,93
5,69054750,18739,66
5,61760773,17025,60
5,10947572,3130,11
5,19403727,5407,19
5,35496483,9935,35
5,66642343,18431,65
5,84108516,24097,85
5,42953526,12225,43
5,73554413,20429,72
5,56399976,16469,58
5,78282233,21847,77
5,24041981,7098,25
5,47570839,13639,48
5,86527415,24667,87
5,51815623,15029,53
5,21292412,5686,20
5,73303111,19869,70
5,87455426,24395,86
5,15390367,4261,15
5,91633074,26362,93
5,66750316,18447,65
5,81181924,22695,80
5,103810874,29767,105
5,48276563,13918,49
5,108642250,31465,111
5,2798310,859,3
5,52821881,15040,53
5,82211356,23245,82
5,33752692,9378,33
5,90103574,25796,91
5,89311308,25525,90
5,83979083,26364,93
5,65468841,29482,104
5,63552566,29477,104
5,68516700,32310,114
5,4888703,2280,8
5,54477959,25243,89
5,38642456,17024,60
5,1775862,858,3
5,41378521,18173,64
5,44450474,19846,70
5,28124290,12773,45
5,64133155,30044,106
5,47838111,21560,76
5,60120746,27499,97
5,33325970,15330,54
5,44515066,19571,69
5,34814484,16448,58
5,60979829,27504,97
5,17143247,7954,28
5,39612716,17310,61
5,66335679,31177,110
5,50635159,22982,81
5,66500026,31175,110
5,27271611,12490,44
5,56962921,26080,92
5,58420886,26375,93
5,29843476,13630,48
5,64989583,29760,105
5,13688133,6255,22
5,52243536,23254,82
5,62663127,27787,98
5,19827523,8531,30
5,60922511,27500,97
5,62019801,26366,93
5,57770256,23257,82
5,39831287,17322,61
5,19514806,8520,30
5,42044280,17604,62
5,19959339,8817,31
5,60796556,27782,98
5,9590946,4263,15
5,11579497,5115,18
5,2571034,1145,4
5,38459283,16744,59
5,64941782,30047,106
5,54937952,24391,86
5,38774024,16737,59
5,62931841,28629,101
5,32450448,15035,53
5,28863307,13346,47
5,70446432,32875,116
5,62198054,28351,100
5,42244716,18441,65
5,28349734,13060,46
5,10572537,4836,17
5,18970185,8518,30
5,4155057,1992,7
5,30207299,13888,49
5,65791417,30046,106
5,31791571,14747,52
5,14864641,6808,24
5,48891426,22109,78
5,32560765,15033,53
