VPTREE,EUCLIDEAN,SSS,1,4015,430720
k,time,count,disk
5,59563321,18141,64
5,45321839,14744,52
5,83582158,26367,93
5,39989654,12762,45
5,47843531,15611,55
5,17990246,5693,20
5,79393349,24951,88
5,32908857,10231,36
5,35626708,11337,40
5,80629768,25232,89
5,56891047,16734,59
5,3690355,1142,4
5,47944651,15336,54
5,85355946,26927,95
5,94823861,30042,106
5,74459982,22970,81
5,87844796,27774,98
5,92567668,29472,104
5,71810501,22121,78
5,19377108,6247,22
5,76533773,23809,84
5,73545506,22970,81
5,13342015,6250,22
5,56647089,25514,90
5,57810822,26644,94
5,53440903,23533,83
5,59823809,26651,94
5,47588542,20709,73
5,22781846,10493,37
5,55085639,25228,89
5,26055148,11927,42
5,47658232,20984,74
5,69859480,32591,115
5,12089593,5686,20
5,51535889,23539,83
5,52850365,23807,84
5,15225258,7382,26
5,37715187,16742,59
5,10550597,4837,17
5,31128158,14762,52
5,6697577,3138,11
5,60669677,28059,99
5,60393818,28626,101
5,63836689,29479,104
5,26862965,12470,44
5,65493718,30607,108
5,56459066,23810,84
5,50898323,23530,83
5,1311972,574,2
5,44981350,20687,73
5,25947175,11905,42
5,57914407,25233,89
5,53473784,24095,85
5,39417170,17016,60
5,24974460,11340,40
5,45576286,20704,73
5,32287934,15323,54
5,1786773,860,3
5,50384257,22963,81
5,41758624,18720,66
5,60231464,26924,95
5,34380850,16442,58
5,33256010,15888,56
5,50955339,24097,85
5,48092628,20143,71
5,63298389,29762,105
5,52587632,24662,87
5,21627140,9638,34
5,69657490,31740,112
5,47404397,21817,77
5,683182,289,1
5,46930488,20422,72
5,6651651,3129,11
5,33832571,16162,57
5,28832038,13599,48
5,61339964,28348,100
5,40870898,18440,65
5,52603100,24378,86
5,40545366,17873,63
5,15577228,7379,26
5,11123001,5122,18
5,15184420,7088,25
5,55659616,24663,87
5,19215665,8249,29
5,31099252,14764,52
5,58203179,26646,94
5,32433265,15319,54
5,64851663,30892,109
5,16242086,7670,27
5,42232152,18444,65
5,23837176,10796,38
5,13132080,5959,21
5,43683665,19294,68
5,32414971,15041,53
5,69400057,32590,115
5,14476863,6819,24
5,2483690,1140,4
5,58398726,26646,94
5,47753882,21552,76
5,60959130,26655,94
5,60641443,27781,98
5,21572568,9658,34
5,12460329,4830,17
5,43213173,19016,67
5,64078503,30039,106
5,54856700,25512,90
5,34149776,16168,57
5,31433199,13898,49
5,20492681,9076,32
5,54400133,23533,83
5,41576811,18431,65
5,11112872,5117,18
5,19865574,8811,31
5,52528370,24090,85
5,3082725,1427,5
5,64027648,28915,102
5,66759964,31177,110
5,16947740,7960,28
5,44586309,19856,70
5,62662917,28910,102
5,20494865,9096,32
5,6733875,3135,11
5,28943868,12777,45
5,11285766,5129,18
5,50033840,21546,76
5,31031306,14736,52
5,17052075,7374,26
5,20689029,9066,32
5,60771096,27768,98
5,45786371,19570,69
5,34002931,15902,56
5,686017,289,1
5,10665912,4831,17
5,16500591,7676,27
5,15653190,7378,26
5,52939182,23527,83
5,49784052,22669,80
5,55977532,25235,89
5,64545169,28621,101
5,31991487,15024,53
5,709070,289,1
5,46466516,20706,73
5,675848,289,1
5,52935635,24100,85
5,53179082,24375,86
5,34911044,16462,58
5,32225947,14758,52
5,4995303,2281,8
5,60788690,28056,99
5,27077266,12492,44
5,47374741,21557,76
5,63776586,30040,106
5,56981066,26644,94
5,49006132,22134,78
5,26691421,12211,43
5,7210399,3419,12
5,42102148,19005,67
5,59319693,28058,99
5,48663199,22107,78
5,55711654,25798,91
5,57193735,17023,60
5,75183410,21835,77
5,109212960,32024,113
5,36521176,10500,37
5,22365726,6544,23
5,42762567,12498,44
5,26209337,7669,27
5,23305078,6828,24
5,107605323,32024,113
5,4090646,1143,4
5,24216298,7093,25
5,36081521,10495,37
5,9742450,2849,10
5,64602325,18419,65
5,74897603,21254,75
5,38865224,11065,39
5,67377753,19004,67
5,44906239,13066,46
5,110257580,32308,114
5,90925647,26081,92
5,100415724,29757,105
5,89298885,25803,91
5,91833219,26367,93
5,71680888,20139,71
5,40175583,11626,41
5,74061264,20984,74
5,61923529,17027,60
5,90968798,26364,93
5,85498955,24384,86
5,71534894,20125,71
5,96029263,27778,98
5,67581456,18724,66
5,37420534,10502,37
5,33357319,9381,33
5,83311110,23826,84
5,6470190,1993,7
5,39119631,11362,40
5,46838045,13621,48
5,84627269,24387,86
5,61948216,17567,62
5,87953680,25791,91
5,74274605,21266,75
5,97001557,29190,103
5,30567795,8508,30
5,62046620,17590,62
5,31539158,8797,31
5,47922679,14195,50
5,53548074,16157,57
5,64410907,17872,63
5,76700916,21828,77
5,87483248,25229,89
5,54868211,16162,57
5,51916683,15309,54
5,19750990,5691,20
5,30784521,8515,30
5,44225131,12781,45
5,46775797,13605,48
5,88040533,25513,90
5,67434399,18723,66
5,61880679,17313,61
5,16159431,4543,16
5,2905281,857,3
5,47576319,13905,49
5,97824231,28061,99
5,74648445,21263,75
5,10630766,3124,11
5,20443088,5968,21
5,16159971,4550,16
5,68215485,19000,67
5,91993761,27205,96
5,99976971,28913,102
5,31081570,8522,30
5,101941246,29478,104
5,23583781,6831,24
5,93072465,26643,94
5,94888292,26937,95
5,44928972,13055,46
5,31582089,8812,31
5,61654604,17302,61
5,35501103,10211,36
5,43036610,12471,44
5,44361176,13342,47
5,21712590,6526,23
5,2012025,572,2
5,73106131,21274,75
5,53231490,16162,57
5,75421586,22118,78
5,103224344,30612,108
5,79686468,22965,81
5,2036831,572,2
5,75745985,21836,77
5,79236164,23242,82
5,42910184,12496,44
5,89196152,26360,93
5,46417786,13892,49
5,36864590,10512,37
5,79694684,23246,82
5,92537461,27217,96
5,48773926,14461,51
5,88308677,26077,92
5,36438811,10513,37
5,94624016,28061,99
5,73786909,21263,75
5,84652226,24674,87
5,27600097,8240,29
5,88379169,26079,92
5,107185005,31739,112
5,66223668,19003,67
5,51226888,15329,54
5,97497528,28625,101
5,42660996,12486,44
5,65140566,18444,65
5,40607574,11932,42
5,22665288,6823,24
5,73609766,21274,75
5,92221008,27494,97
5,7977449,2281,8
5,100260802,30325,107
5,70961378,20404,72
5,77946062,22126,78
5,48386139,14200,50
5,69109874,19851,70
5,60868800,17018,60
5,39272168,11362,40
5,81242739,23535,83
5,15904291,4544,16
5,23636561,7087,25
5,32995069,9380,33
5,35702160,10223,36
5,79737454,22974,81
5,31084485,8797,31
5,52109135,15601,55
5,34914811,9940,35
5,72606434,20705,73
5,52999955,15613,55
5,86833419,25226,89
5,91804636,27211,96
5,91360923,26081,92
5,65204907,18448,65
5,2848635,859,3
5,90147107,26364,93
5,84359697,24949,88
5,80793997,23818,84
5,53055570,15900,56
5,80859610,23809,84
5,94857374,28059,99
5,4011548,1142,4
5,80792604,23251,82
5,92688916,27214,96
5,36096569,10488,37
5,79398678,23243,82
5,45460840,13337,47
5,41686007,12210,43
5,35800253,10208,36
5,86323281,24947,88
5,32460526,9356,33
5,20340696,5970,21
5,70819451,20422,72
5,36411791,10494,37
5,88272679,25798,91
5,62659401,17303,61
5,61676496,17309,61
5,13231938,3979,14
5,66389609,18442,65
5,93934452,26933,95
5,75265253,21555,76
5,93457708,27495,97
5,39674192,11636,41
5,98611399,29476,104
5,39331719,11349,40
5,92085042,27210,96
5,60831962,20413,72
5,59536611,27492,97
5,58028901,27206,96
5,1269331,572,2
5,13818659,6538,23
5,47039231,21270,75
5,715262,289,1
5,638157,289,1
5,56527545,24670,87
5,32607011,15594,55
5,60178785,27494,97
5,49427363,16742,59
5,92365027,27218,96
5,1108510,289,1
5,1995574,572,2
5,66525414,18442,65
5,46826141,13913,49
5,93673954,26933,95
5,74023323,20990,74
5,95361230,27493,97
5,34780991,9939,35
5,96764051,28633,101
5,75962662,21551,76
5,73154823,20143,71
5,26476038,7960,28
5,37404924,10776,38
5,85556583,24657,87
5,75961650,21550,76
5,86379267,24665,87
5,78338308,22116,78
5,36714960,10516,37
5,100088480,29470,104
5,104069359,30613,108
5,83953845,23818,84
5,63258464,17317,61
5,72017439,19859,70
5,85431007,24100,85
5,100065978,29191,103
5,44559970,13061,46
5,82700414,23267,82
5,2955756,861,3
5,25751118,7674,27
5,68710624,19003,67
5,96761998,27781,98
5,99037357,28630,101
5,52544470,15605,55
5,107753091,32025,113
5,40047903,11646,41
5,109039925,32309,114
5,41021840,12202,43
5,23936874,7104,25
5,103229544,30045,106
5,96156902,27775,98
5,31785811,8819,31
5,24634373,7369,26
5,95584849,27782,98
5,91604861,26362,93
5,94654955,26933,95
5,18403061,5397,19
5,49342432,14479,51
5,79309231,22127,78
5,48631229,14198,50
5,37907697,11060,39
5,41179947,11919,42
5,71633910,20133,71
5,35840970,10232,36
5,83387393,23804,84
5,66879308,18440,65
5,84882348,24096,85
5,85316763,24096,85
5,105901677,30607,108
5,80520603,22686,80
5,76300846,20988,74
5,106654539,31174,110
5,81519999,22962,81
5,109321564,31739,112
5,40851681,11626,41
5,87888738,24948,88
5,84590861,24091,85
5,74202990,20424,72
5,89827807,25790,91
5,103525659,29473,104
5,70827516,19009,67
5,79653998,22125,78
5,44180016,12783,45
5,64715398,17595,62
5,84065245,23534,83
5,34001869,9641,34
5,45277255,13061,46
5,43968229,12752,45
5,69754433,18728,66
5,77490969,21556,76
5,17011779,4830,17
5,15113429,4276,15
5,40875386,11644,41
5,46862039,13608,48
5,44383459,13042,46
5,62803561,17033,60
5,41360907,11625,41
5,72537845,19858,70
5,84392890,23533,83
5,18751585,5389,19
5,62840941,17033,60
5,51309214,14742,52
5,53435433,15877,56
5,12588069,3699,13
5,74134662,20419,72
5,82008545,22962,81
5,37251467,10507,37
5,86673499,24662,87
5,79092804,21853,77
5,75255295,20426,72
5,104985859,29757,105
5,41873138,11925,42
5,113139718,32025,113
5,8876586,2563,9
5,70353968,19007,67
5,92693454,26362,93
5,31965879,8802,31
5,96379741,27209,96
5,85227205,23538,83
5,89927784,25227,89
5,106033996,29762,105
5,65115599,17567,62
5,103598786,30038,106
5,2874173,860,3
5,93657683,26089,92
5,81246295,22410,79
5,2882248,859,3
5,38185499,10776,38
5,52834525,15590,55
5,50604862,14746,52
5,99694350,28341,100
5,73795425,20133,71
5,87299584,24668,87
5,52724339,15333,54
5,80309688,21845,77
5,22970660,6804,24
5,97708854,27497,97
5,31750064,8801,31
5,53058485,15607,55
5,66287298,17859,63
5,87762662,24104,85
5,104457407,30039,106
5,67625458,18160,64
5,54484301,15587,55
5,93803556,26087,92
5,44621826,12779,45
5,87152868,27489,97
5,18686372,6836,24
5,51391758,22120,78
5,64009323,27779,98
5,14452127,6534,23
5,56483192,24940,88
5,42774209,18138,64
5,53625930,23530,83
5,43297131,18159,64
5,17095547,7951,28
5,42642651,17874,63
5,25871864,11645,41
5,61990385,26075,92
5,7761503,3700,13
5,17696625,8225,29
5,1268630,572,2
5,41046747,17307,61
5,44143257,18714,66
5,52510829,22688,80
5,43043915,18155,64
5,67024861,29759,105
5,40145526,16729,59
5,29563571,13344,47
5,71203082,32023,113
5,55378739,24384,86
5,35190409,16457,58
