VPTREE,EUCLIDEAN,WDR,1,4015,39721
k,time,count,disk
5,64131863,31172,110
5,54725825,23820,84
5,56377153,26087,92
5,22164108,10212,36
5,22130144,10214,36
5,9346568,4270,15
5,46949644,21832,77
5,12348791,5968,21
5,31390800,15033,53
5,40822106,18721,66
5,41281248,19002,67
5,1812561,860,3
5,21688857,9930,35
5,57970633,27783,98
5,46396074,21257,75
5,42810587,19567,69
5,49453191,22955,81
5,62582316,30042,106
5,34117105,16450,58
5,23544879,11073,39
5,66615022,30609,108
5,45975035,21272,75
5,2486485,1143,4
5,55732403,25795,91
5,53172480,24943,88
5,47910477,22684,80
5,40087117,18150,64
5,30940295,14749,52
5,22139902,9925,35
5,55365855,24947,88
5,25037178,11924,42
5,37388304,17018,60
5,65951668,31737,112
5,6007612,2844,10
5,40287434,18435,65
5,64067233,31174,110
5,5420680,2558,9
5,25865622,12201,43
5,4854098,2277,8
5,27781267,12485,44
5,3066023,1424,5
5,56077932,26368,93
5,50834503,23806,84
5,59752516,28064,99
5,39936926,18160,64
5,67157330,32021,113
5,64623927,30894,109
5,49088136,22683,80
5,668595,289,1
5,65281831,31741,112
5,39847317,18161,64
5,54477718,25798,91
5,58330869,27784,98
5,34179793,16164,57
5,48006967,22123,78
5,41982364,18999,67
5,38485112,15617,55
5,3255368,1427,5
5,51402549,22691,80
5,33171561,15880,56
5,59348969,28337,100
5,27348516,12765,45
5,29317680,13895,49
5,41811392,18999,67
5,31963555,15037,53
5,62049175,29197,103
5,49572695,22404,79
5,32134675,12761,45
5,65128012,30891,109
5,59263800,29193,103
5,658225,289,1
5,45963062,21560,76
5,10202583,4841,17
5,23376171,11061,39
5,58301384,27772,98
5,53651509,25805,91
5,29160745,14178,50
5,48719514,23522,83
5,32544164,16171,57
5,12377244,5966,21
5,11767049,5691,20
5,22067877,10510,37
5,51527924,24660,87
5,7523547,3700,13
5,24550405,11639,41
5,40353587,18712,66
5,53222784,25521,90
5,61031587,29478,104
5,29273126,13915,49
5,32345581,15321,54
5,11950914,5693,20
5,39970568,18447,65
5,29982096,14469,51
5,43782050,20425,72
5,68224573,32870,116
5,15326899,7390,26
5,3576660,1704,6
5,42490356,19843,70
5,32801086,15876,56
5,51005443,23828,84
5,52732885,24948,88
5,16997774,8242,29
5,7051001,3410,12
5,38012985,17300,61
5,63252032,30328,107
5,49757652,23245,82
5,26967761,12484,44
5,26163301,12195,43
5,12199611,5683,20
5,53044009,24392,86
5,46291630,20416,72
5,2996402,1429,5
5,20767156,9654,34
5,64954007,30891,109
5,10383333,4839,17
5,54412367,25521,90
5,66475641,31458,111
5,12679361,5979,21
5,23118488,10776,38
5,61211514,29197,103
5,22681749,10511,37
5,3564107,1712,6
5,30659879,14468,51
5,5455967,2562,9
5,49146466,22964,81
5,50732532,24093,85
5,28845964,13620,48
5,46000783,21539,76
5,63828645,30607,108
5,41467507,18723,66
5,22804530,10497,37
5,694904,289,1
5,22176311,10218,36
5,18804814,8523,30
5,11184245,5115,18
5,44897233,20695,73
5,59426154,28911,102
5,31445442,15032,53
5,63852459,30892,109
5,54891185,25800,91
5,667894,289,1
5,33707386,15883,56
5,652164,289,1
5,39966852,18148,64
5,58442318,27209,96
5,29502587,13620,48
5,19960943,9077,32
5,1738853,860,3
5,63599014,30326,107
5,30896663,14754,52
5,38257243,17304,61
5,63308128,30046,106
5,58286215,27495,97
5,45130430,20144,71
5,25492713,11074,39
5,1813823,858,3
5,32282102,14747,52
5,62828247,28909,102
5,56879104,26081,92
5,45258951,20145,71
5,33253295,15310,54
5,43752184,19293,68
5,62800766,28068,99
5,21202153,9366,33
5,12416779,5692,20
5,16944334,7958,28
5,23570236,10512,37
5,5091383,2280,8
5,67932664,30892,109
5,3088124,1437,5
5,34661106,16186,57
5,21090293,9358,33
5,659939,289,1
5,48704546,22109,78
5,52163086,23530,83
5,21118806,9360,33
5,24860186,11344,40
5,33973977,15609,55
5,61616995,28344,100
5,47138608,20991,74
5,67123476,31457,111
5,55258975,25236,89
5,43374906,18999,67
5,26606653,12196,43
5,20502790,9078,32
5,44254567,19574,69
5,31195374,14187,50
5,44714650,20139,71
5,53670554,24103,85
5,66753803,30892,109
5,50943798,23820,84
5,34075167,16167,57
5,24321766,11068,39
5,22939723,10509,37
5,46297219,20707,73
5,1836987,856,3
5,13317308,6258,22
5,39756247,16750,59
5,56677757,24659,87
5,53989433,24660,87
5,54851921,25226,89
5,42732591,19001,67
5,61436957,28334,100
5,47150470,20713,73
5,27569340,12767,45
5,28366045,12770,45
5,25258283,11357,40
5,44657062,19848,70
5,33231644,15317,54
5,41877998,18428,65
5,49955874,22118,78
5,34109992,15590,55
5,64185033,29194,103
5,6690173,3136,11
5,13421303,6256,22
5,10583128,4839,17
5,54661724,24382,86
5,58817171,26934,95
5,35705787,16463,58
5,47423232,20710,73
5,26164855,11918,42
5,4094823,2004,7
5,29082789,13339,47
5,55845486,25234,89
5,56801900,26084,92
5,32111773,14764,52
5,17058668,7947,28
5,3625092,1707,6
5,39712244,17293,61
5,58888615,27203,96
5,59787161,27217,96
5,16276762,7672,27
5,57680980,26646,94
5,9410247,4262,15
5,50409135,22391,79
5,35077958,16167,57
5,22944322,10496,37
5,16119165,7390,26
5,36911919,15904,56
5,21061518,9363,33
5,59344931,26926,95
5,28860983,13054,46
5,44779622,19579,69
5,4238313,2004,7
5,26510683,11913,42
5,50882854,22974,81
5,40041252,17861,63
5,58361355,26654,94
5,44678082,19850,70
5,3088485,1437,5
5,44969458,19858,70
5,41924855,18711,66
5,31942976,14769,52
5,65719783,30044,106
5,35238970,16173,57
5,10723240,4835,17
5,49289133,22115,78
5,57023266,25803,91
5,60893377,27497,97
5,53636381,24094,85
5,13582155,6246,22
5,59944557,27217,96
5,59740724,27220,96
5,49648518,22121,78
5,19470694,8530,30
5,53197787,24107,85
5,67899743,30892,109
5,46196180,20435,72
5,28493443,13051,46
5,56580295,25512,90
5,22869991,10218,36
5,24075604,10782,38
5,16964521,7955,28
5,23118359,10504,37
5,34756836,16166,57
5,52284985,23239,82
5,2469523,1142,4
5,66187741,30891,109
5,64307002,29480,104
5,43736194,19287,68
5,31123338,13624,48
5,39358129,17300,61
5,34680133,16167,57
5,19192081,8521,30
5,48954906,22118,78
5,21717480,9935,35
5,25997199,11910,42
5,7190782,3411,12
5,13920289,6528,23
5,42808294,18720,66
5,31674152,14755,52
5,25223156,11358,40
5,26641138,12207,43
5,39422550,17306,61
5,30054252,13895,49
5,49100570,22116,78
5,60429366,27497,97
5,52755528,23538,83
5,33444944,15894,56
5,1800849,860,3
5,41378029,18718,66
5,48130550,21833,77
5,63806172,29761,105
5,26624938,12203,43
5,48123416,21838,77
5,48303895,21824,77
5,683803,290,1
5,44506689,19848,70
5,58903925,27218,96
5,51434088,22971,81
5,55590427,25795,91
5,23203568,10503,37
5,19710063,8808,31
5,25885290,11914,42
5,52698291,23821,84
5,28011158,13045,46
5,24321235,11078,39
5,35122632,16450,58
5,58352470,25798,91
5,42835524,18714,66
5,38832092,16736,59
5,26606242,12195,43
5,6227546,2845,10
5,30748381,14187,50
5,56695071,25238,89
5,41292457,18155,64
5,53386562,24107,85
5,23847462,10785,38
5,53249745,24380,86
5,33974485,15890,56
5,61576882,28067,99
5,45932695,20415,72
5,51982017,23241,82
5,47563228,20970,74
5,3089553,1437,5
5,21086322,9367,33
5,40602346,17859,63
5,1291826,573,2
5,1250559,573,2
5,40449228,17582,62
5,33582581,15604,55
5,56843007,25515,90
5,30223444,13905,49
5,47455236,20990,74
5,1337041,573,2
5,5032131,2287,8
5,30837917,14191,50
5,21153159,9372,33
5,51368746,22681,80
5,43569128,18719,66
5,64299353,28910,102
5,21339258,9377,33
5,58600308,26646,94
5,30634335,13328,47
5,35488732,16458,58
5,22338494,10223,36
5,21368513,9645,34
5,59080118,27216,96
5,39034141,17304,61
5,41376600,18150,64
5,42825572,18713,66
5,12416830,5685,20
5,56563623,25500,90
5,65668753,30046,106
5,49057456,21557,76
5,26562708,12206,43
5,33079857,15319,54
5,52105881,23535,83
5,65187720,30043,106
5,16112802,7376,26
5,44131333,19582,69
5,2517118,1149,4
5,16797368,7682,27
5,44611676,19579,69
5,52848295,23532,83
5,58130245,26368,93
5,26737415,12194,43
5,66430985,30608,108
5,21854235,9654,34
5,70178333,32305,114
5,26497925,11928,42
5,9553283,4271,15
5,63225524,28630,101
5,62409241,28067,99
5,19721329,8527,30
5,46551169,20696,73
5,55657672,24956,88
5,43808447,19286,68
5,51600120,22976,81
5,14920482,6808,24
5,29107337,13334,47
5,30648220,13888,49
5,32895771,15046,53
5,14333329,6525,23
5,25728039,11636,41
5,40250776,17579,62
5,11144260,5120,18
5,65325508,30325,107
5,47919459,21281,75
5,40290510,17581,62
5,50568153,22682,80
5,60138677,27501,97
5,48026969,21553,76
5,39216393,17010,60
5,63143170,29764,105
5,54361106,24943,88
5,65934722,29759,105
5,25581925,11632,41
5,54047747,24388,86
5,34699359,16161,57
5,34386601,16163,57
5,64993084,30890,109
5,52470475,23522,83
5,32495450,14755,52
5,41989351,18438,65
5,28977242,13350,47
5,27343163,12480,44
5,46722841,20700,73
5,50199620,22410,79
5,21701617,9653,34
5,50288597,22684,80
5,25925220,11630,41
5,25219175,11348,40
5,8463876,3983,14
5,5155863,2285,8
5,25378934,11360,40
5,55572461,25511,90
5,34120251,15872,56
5,25364167,11636,41
5,42204334,18442,65
5,33826369,15603,55
5,40735576,17586,62
5,8105153,3690,13
5,25833398,11636,41
5,57524647,26081,92
5,33961383,15605,55
5,10553500,4547,16
5,38974638,16738,59
5,42112832,18433,65
5,23561351,10502,37
5,58810092,26932,95
5,41718061,18152,64
5,38731352,16731,59
5,62249250,28633,101
5,23779330,10785,38
5,67581024,30608,108
5,665510,289,1
5,42517963,18727,66
5,53360777,23813,84
5,13870730,6242,22
5,58628300,26653,94
5,50198969,22123,78
5,33731191,15590,55
5,59099826,26366,93
5,69526087,32304,114
5,63611770,28902,102
5,3100162,1427,5
5,53511399,24388,86
5,40310518,18159,64
5,1274464,574,2
5,27280265,12480,44
5,45180844,20413,72
5,19311309,8513,30
5,60273570,27773,98
5,45184121,20412,72
5,55138515,25521,90
5,28172891,12772,45
5,47090822,20415,72
5,43331661,19279,68
5,51473743,22975,81
5,19993510,8803,31
5,26617901,12197,43
5,68478540,31739,112
5,51986826,23538,83
5,65950351,30892,109
5,23339975,10497,37
5,56885627,26361,93
5,57637869,25519,90
5,18589834,6810,24
5,63709803,29760,105
5,8350232,3988,14
5,44215021,19570,69
5,61148633,27499,97
5,15928845,7383,26
5,58842202,27501,97
5,53564499,24377,86
5,41607001,18146,64
5,33737613,15599,55
5,15861018,7386,26
5,28489617,13055,46
5,17119983,7950,28
5,52988978,23812,84
5,2470689,1142,4
5,15197122,7102,25
5,3126651,1429,5
5,27459872,12767,45
5,62473321,28914,102
5,46717911,20701,73
5,33009465,15313,54
5,63674306,28912,102
5,32035647,14750,52
5,19930051,8794,31
5,67252397,30891,109
5,62339890,28348,100
5,22959640,10210,36
5,27411741,12506,44
5,21786948,9650,34
5,15270660,7116,25
5,3103930,1427,5
5,32973859,15304,54
5,65519072,29478,104
5,39652451,17587,62
5,31508185,14749,52
5,61337137,28912,102
5,34298506,15881,56
5,41610008,18438,65
5,27218579,12482,44
5,6822153,3134,11
5,50864879,22672,80
5,47544122,21270,75
5,10268766,4547,16
5,42659378,18711,66
5,51566166,22964,81
5,32011670,14748,52
5,14800977,6826,24
5,47449454,20993,74
5,71512768,32587,115
5,63294754,28632,101
5,53775465,23805,84
5,21650302,9642,34
5,32181861,14748,52
5,1296806,578,2
5,61944337,28347,100
5,53962066,24381,86
5,10043603,4557,16
5,32146674,15030,53
5,8297755,3977,14
5,53958349,24385,86
5,30490965,13901,49
5,22687419,10220,36
5,52345891,23815,84
5,49674163,22401,79
5,12427441,5680,20
5,7317503,3424,12
5,33590686,15619,55
5,69200926,32587,115
5,68970813,32307,114
5,20063892,8804,31
5,44912310,19566,69
5,62928455,29187,103
5,29389006,13338,47
5,59729557,26935,95
5,15971707,7390,26
5,51722871,22680,80
5,32109464,14462,51
